,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
0,2017-03-03 0:00:00,Baby's Only,1,1,1,1,100,0.01,0.73,1.4673,1973,Baby Foods
1,2017-03-03 0:00:00,Earth's Best,1,1,1,18,100,0.18,1,2.18,1973,Baby Foods
2,2017-03-03 0:00:00,Enfagrow,1,1,1,4,100,0.04,0.96,1.9584,1973,Baby Foods
3,2017-03-03 0:00:00,Enfamil,1,1,1,12,100,0.12,0.91,1.9292,1973,Baby Foods
4,2017-03-03 0:00:00,Gerber Good Start Infant Formula,1,1,1,4,100,0.04,0.62,1.2648,1973,Baby Foods
5,2017-03-03 0:00:00,Gerber Graduates,1,1,1,5,100,0.05,0.95,1.9475,1973,Baby Foods
6,2017-03-03 0:00:00,Gerber Purees,1,1,1,2,100,0.02,0.74,1.4948,1973,Baby Foods
7,2017-03-03 0:00:00,HAPPY BABY,1,1,1,9,100,0.09,0.84,1.7556,1973,Baby Foods
8,2017-03-03 0:00:00,Happy Baby,1,1,1,1,100,0.01,0.94,1.8894,1973,Baby Foods
9,2017-03-03 0:00:00,Hot Kid,1,1,1,1,100,0.01,0.1,0.201,1973,Baby Foods
10,2017-03-03 0:00:00,NO DATA,1,1,1,1,100,0.01,0.25,0.5025,1973,Baby Foods
11,2017-03-03 0:00:00,Nido,1,1,1,1,100,0.01,0.46,0.9246,1973,Baby Foods
12,2017-03-03 0:00:00,Nutramigen,1,1,1,2,100,0.02,0.69,1.3938,1973,Baby Foods
13,2017-03-03 0:00:00,Pediasure,1,1,1,2,100,0.02,0.66,1.3332,1973,Baby Foods
14,2017-03-03 0:00:00,Peter Rabbit Organics,1,1,1,3,100,0.03,0.55,1.1165,1973,Baby Foods
15,2017-03-03 0:00:00,Plum Organics,1,1,1,15,100,0.15,0.99,2.1285,1973,Baby Foods
16,2017-03-03 0:00:00,Pumpkin Tree,1,1,1,2,100,0.02,0.7,1.414,1973,Baby Foods
17,2017-03-03 0:00:00,Similac,1,1,1,16,100,0.16,0.97,2.0952,1973,Baby Foods
18,2017-03-03 0:00:00,Sprout,1,1,1,1,100,0.01,0.16,0.3216,1973,Baby Foods
19,2017-03-04 0:00:00,Baby's Only,2,2,1,2,200,0.01,0.75,1.5075,1973,Baby Foods
20,2017-03-04 0:00:00,Earth's Best,2,2,1,36,200,0.18,0.995,2.1691,1973,Baby Foods
21,2017-03-04 0:00:00,Enfagrow,2,2,1,7,200,0.035,0.98,1.9943,1973,Baby Foods
22,2017-03-04 0:00:00,Enfamil,2,2,1,25,200,0.125,0.905,1.923125,1973,Baby Foods
23,2017-03-04 0:00:00,Gerber Good Start Infant Formula,2,2,1,8,200,0.04,0.6,1.224,1973,Baby Foods
24,2017-03-04 0:00:00,Gerber Graduates,2,2,1,10,200,0.05,0.95,1.9475,1973,Baby Foods
25,2017-03-04 0:00:00,Gerber Purees,2,2,1,4,200,0.02,0.715,1.4443,1973,Baby Foods
26,2017-03-04 0:00:00,HAPPY BABY,2,2,1,18,200,0.09,0.88,1.8392,1973,Baby Foods
27,2017-03-04 0:00:00,Happy Baby,2,2,1,2,200,0.01,0.935,1.87935,1973,Baby Foods
28,2017-03-04 0:00:00,Hot Kid,1,2,0.5,1,100,0.01,0.1,0.151,1973,Baby Foods
29,2017-03-04 0:00:00,NO DATA,2,2,1,3,200,0.015,0.3,0.6045,1973,Baby Foods
30,2017-03-04 0:00:00,Nido,2,2,1,2,200,0.01,0.48,0.9648,1973,Baby Foods
31,2017-03-04 0:00:00,Nutramigen,2,2,1,5,200,0.025,0.655,1.326375,1973,Baby Foods
32,2017-03-04 0:00:00,Pediasure,2,2,1,4,200,0.02,0.655,1.3231,1973,Baby Foods
33,2017-03-04 0:00:00,Peter Rabbit Organics,2,2,1,6,200,0.03,0.505,1.02515,1973,Baby Foods
34,2017-03-04 0:00:00,Plum Organics,2,2,1,28,200,0.14,0.985,2.1079,1973,Baby Foods
35,2017-03-04 0:00:00,Pumpkin Tree,2,2,1,4,200,0.02,0.69,1.3938,1973,Baby Foods
36,2017-03-04 0:00:00,Similac,2,2,1,32,200,0.16,0.955,2.0628,1973,Baby Foods
37,2017-03-04 0:00:00,Sprout,2,2,1,3,200,0.015,0.195,0.392925,1973,Baby Foods
38,2017-03-05 0:00:00,Baby's Only,3,3,1,3,300,0.01,0.743333333,1.4941,1973,Baby Foods
39,2017-03-05 0:00:00,Earth's Best,3,3,1,55,300,0.183333333,0.993333333,2.168777778,1973,Baby Foods
40,2017-03-05 0:00:00,Enfagrow,3,3,1,10,300,0.033333333,0.976666667,1.985888889,1973,Baby Foods
