brand,score
Baby's Only,15.75
Baby's Only Organic,13.01
Beech-Nut,0.46
Earth's Best,21.42
EleCare,2.91
Ella's Kitchen,2.39
Enfagrow,17.39
Enfamil,19.30
Gerber,2.16
Gerber Good Start Infant Formula,12.71
Gerber Graduates,18.05
Gerber Purees,8.99
HAPPY BABY,18.60
Happy Tot,2.12
Hot Kid,2.85
Kiinde,5.23
MommyYummy,3.96
Nido,8.78
NO DATA,8.45
Nuby,1.21
Nutramigen,16.28
Pedialyte,10.04
Pediasure,13.88
Peter Rabbit Organics,9.90
Plum Organics,21.35
Pumpkin Tree,14.65
Similac,20.92
Sprout,2.91
The First Years,0.73
The Honest Company,2.63
Traditional Medicinals,5.17
