,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,score_90,url_id,category
0,2017-03-03 0:00:00,AQUAhydrate,1,1,1,1,100,0.01,0.01,0.0201,0.0201,2161,Drinking Water
1,2017-03-03 0:00:00,Acqua Panna,1,1,1,1,100,0.01,0.05,0.1005,0.1005,2161,Drinking Water
2,2017-03-03 0:00:00,Aquafina,1,1,1,1,100,0.01,0.64,1.2864,1.2864,2161,Drinking Water
3,2017-03-03 0:00:00,Celsius,1,1,1,2,100,0.02,0.27,0.5454,0.5454,2161,Drinking Water
4,2017-03-03 0:00:00,Dasani,1,1,1,2,100,0.02,0.78,1.5756,1.5756,2161,Drinking Water
5,2017-03-03 0:00:00,Essentia,1,1,1,3,100,0.03,0.96,1.9488,1.9488,2161,Drinking Water
6,2017-03-03 0:00:00,Fiji Water,1,1,1,5,100,0.05,0.98,2.009,2.009,2161,Drinking Water
7,2017-03-03 0:00:00,Hint,1,1,1,3,100,0.03,0.8,1.624,1.624,2161,Drinking Water
8,2017-03-03 0:00:00,Icelandic Glacial,1,1,1,1,100,0.01,0.11,0.2211,0.2211,2161,Drinking Water
9,2017-03-03 0:00:00,LIFEWTR,1,1,1,2,100,0.02,0.29,0.5858,0.5858,2161,Drinking Water
10,2017-03-03 0:00:00,LaCroix,1,1,1,2,100,0.02,0.99,1.9998,1.9998,2161,Drinking Water
11,2017-03-03 0:00:00,NO DATA,1,1,1,6,100,0.06,0.94,1.9364,1.9364,2161,Drinking Water
12,2017-03-03 0:00:00,Nestle,1,1,1,1,100,0.01,0.22,0.4422,0.4422,2161,Drinking Water
13,2017-03-03 0:00:00,Nestle Pure Life,1,1,1,2,100,0.02,1,2.02,2.02,2161,Drinking Water
14,2017-03-03 0:00:00,Nestle Pure Life Exotics Sparkling Water,1,1,1,1,100,0.01,0.09,0.1809,0.1809,2161,Drinking Water
15,2017-03-03 0:00:00,Nestle Pure Life Splash,1,1,1,2,100,0.02,0.46,0.9292,0.9292,2161,Drinking Water
16,2017-03-03 0:00:00,Perrier,1,1,1,7,100,0.07,0.93,1.9251,1.9251,2161,Drinking Water
17,2017-03-03 0:00:00,Poland Spring,1,1,1,3,100,0.03,0.41,0.8323,0.8323,2161,Drinking Water
18,2017-03-03 0:00:00,Powerade,1,1,1,3,100,0.03,0.31,0.6293,0.6293,2161,Drinking Water
19,2017-03-03 0:00:00,Propel,1,1,1,6,100,0.06,0.66,1.3596,1.3596,2161,Drinking Water
20,2017-03-03 0:00:00,Quaker Gatorade,1,1,1,1,100,0.01,0.56,1.1256,1.1256,2161,Drinking Water
21,2017-03-03 0:00:00,San Pellegrino,1,1,1,3,100,0.03,0.91,1.8473,1.8473,2161,Drinking Water
22,2017-03-03 0:00:00,Sobe,1,1,1,1,100,0.01,0.21,0.4221,0.4221,2161,Drinking Water
23,2017-03-03 0:00:00,Sparkling ICE,1,1,1,13,100,0.13,0.89,1.8957,1.8957,2161,Drinking Water
24,2017-03-03 0:00:00,Traditional Medicinals,1,1,1,1,100,0.01,0.16,0.3216,0.3216,2161,Drinking Water
25,2017-03-03 0:00:00,VOSS Artesian water,1,1,1,2,100,0.02,0.32,0.6464,0.6464,2161,Drinking Water
26,2017-03-03 0:00:00,Zico Beverages,1,1,1,1,100,0.01,0.33,0.6633,0.6633,2161,Drinking Water
27,2017-03-03 0:00:00,bai,1,1,1,14,100,0.14,0.92,1.9688,1.9688,2161,Drinking Water
28,2017-03-03 0:00:00,evian,1,1,1,1,100,0.01,0.08,0.1608,0.1608,2161,Drinking Water
29,2017-03-03 0:00:00,purelife,1,1,1,1,100,0.01,0.14,0.2814,0.2814,2161,Drinking Water
30,2017-03-03 0:00:00,smartwater,1,1,1,3,100,0.03,0.97,1.9691,1.9691,2161,Drinking Water
31,2017-03-03 0:00:00,vitaminwater,1,1,1,5,100,0.05,0.85,1.7425,1.7425,2161,Drinking Water
32,2017-03-04 0:00:00,AQUAhydrate,1,2,0.5,1,100,0.01,0.01,0.0151,0.0151,2161,Drinking Water
33,2017-03-04 0:00:00,Acqua Panna,2,2,1,2,200,0.01,0.15,0.3015,0.3015,2161,Drinking Water
34,2017-03-04 0:00:00,Aquafina,2,2,1,2,200,0.01,0.67,1.3467,1.3467,2161,Drinking Water
35,2017-03-04 0:00:00,Capri Sun,1,2,0.5,1,100,0.01,0.15,0.2265,0.2265,2161,Drinking Water
36,2017-03-04 0:00:00,Celsius,2,2,1,4,200,0.02,0.3,0.606,0.606,2161,Drinking Water
37,2017-03-04 0:00:00,Dasani,2,2,1,4,200,0.02,0.785,1.5857,1.5857,2161,Drinking Water
38,2017-03-04 0:00:00,Dasani DROPS,1,2,0.5,1,100,0.01,0.06,0.0906,0.0906,2161,Drinking Water
39,2017-03-04 0:00:00,Essentia,2,2,1,6,200,0.03,0.96,1.9488,1.9488,2161,Drinking Water
40,2017-03-04 0:00:00,Fiji Water,2,2,1,10,200,0.05,0.985,2.01925,2.01925,2161,Drinking Water
41,2017-03-04 0:00:00,Hiball Energy,1,2,0.5,1,100,0.01,0.1,0.151,0.151,2161,Drinking Water
42,2017-03-04 0:00:00,Hint,2,2,1,6,200,0.03,0.79,1.6037,1.6037,2161,Drinking Water
43,2017-03-04 0:00:00,Icelandic Glacial,2,2,1,2,200,0.01,0.12,0.2412,0.2412,2161,Drinking Water
44,2017-03-04 0:00:00,LIFEWTR,2,2,1,4,200,0.02,0.26,0.5252,0.5252,2161,Drinking Water
45,2017-03-04 0:00:00,LaCroix,2,2,1,4,200,0.02,0.995,2.0099,2.0099,2161,Drinking Water
46,2017-03-04 0:00:00,NO DATA,2,2,1,11,200,0.055,0.94,1.9317,1.9317,2161,Drinking Water
47,2017-03-04 0:00:00,Nestle,2,2,1,2,200,0.01,0.26,0.5226,0.5226,2161,Drinking Water
48,2017-03-04 0:00:00,Nestle Pure Life,2,2,1,4,200,0.02,0.99,1.9998,1.9998,2161,Drinking Water
