,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
0,2017-03-03 0:00:00,Annie's Homegrown,1,1,1,1,100,0.01,0.59,1.1859,1951,Grocery & Gourmet Food
1,2017-03-03 0:00:00,Bragg,1,1,1,3,100,0.03,0.79,1.6037,1951,Grocery & Gourmet Food
2,2017-03-03 0:00:00,Bulletproof,1,1,1,1,100,0.01,0.39,0.7839,1951,Grocery & Gourmet Food
3,2017-03-03 0:00:00,Carrington Farms,1,1,1,1,100,0.01,0.92,1.8492,1951,Grocery & Gourmet Food
4,2017-03-03 0:00:00,Cheerios,1,1,1,2,100,0.02,0.77,1.5554,1951,Grocery & Gourmet Food
5,2017-03-03 0:00:00,Cheetos,1,1,1,1,100,0.01,0.29,0.5829,1951,Grocery & Gourmet Food
6,2017-03-03 0:00:00,Clif Bar,1,1,1,1,100,0.01,0.63,1.2663,1951,Grocery & Gourmet Food
7,2017-03-03 0:00:00,Coca-Cola,1,1,1,1,100,0.01,0.44,0.8844,1951,Grocery & Gourmet Food
8,2017-03-03 0:00:00,Custom Variety Pack,1,1,1,1,100,0.01,0.81,1.6281,1951,Grocery & Gourmet Food
9,2017-03-03 0:00:00,Diet Coke,1,1,1,1,100,0.01,0.46,0.9246,1951,Grocery & Gourmet Food
10,2017-03-03 0:00:00,Earth's Best,1,1,1,1,100,0.01,0.86,1.7286,1951,Grocery & Gourmet Food
11,2017-03-03 0:00:00,Essentia,1,1,1,1,100,0.01,0.64,1.2864,1951,Grocery & Gourmet Food
12,2017-03-03 0:00:00,Ferrero,1,1,1,1,100,0.01,0.47,0.9447,1951,Grocery & Gourmet Food
13,2017-03-03 0:00:00,Fiber One Snacks,1,1,1,1,100,0.01,0.84,1.6884,1951,Grocery & Gourmet Food
14,2017-03-03 0:00:00,Fiji Water,1,1,1,1,100,0.01,0.88,1.7688,1951,Grocery & Gourmet Food
15,2017-03-03 0:00:00,Folgers,1,1,1,1,100,0.01,0.08,0.1608,1951,Grocery & Gourmet Food
16,2017-03-03 0:00:00,Great Lakes,1,1,1,1,100,0.01,0.93,1.8693,1951,Grocery & Gourmet Food
17,2017-03-03 0:00:00,Green Mountain Coffee,1,1,1,2,100,0.02,0.52,1.0504,1951,Grocery & Gourmet Food
18,2017-03-03 0:00:00,Haribo,1,1,1,1,100,0.01,0.7,1.407,1951,Grocery & Gourmet Food
19,2017-03-03 0:00:00,Healthworks,1,1,1,1,100,0.01,0.09,0.1809,1951,Grocery & Gourmet Food
20,2017-03-03 0:00:00,Heinz,1,1,1,1,100,0.01,0.69,1.3869,1951,Grocery & Gourmet Food
21,2017-03-03 0:00:00,Island Fresh,1,1,1,1,100,0.01,0.26,0.5226,1951,Grocery & Gourmet Food
22,2017-03-03 0:00:00,Izze Soda,1,1,1,1,100,0.01,0.36,0.7236,1951,Grocery & Gourmet Food
23,2017-03-03 0:00:00,Jayone,1,1,1,1,100,0.01,0.98,1.9698,1951,Grocery & Gourmet Food
24,2017-03-03 0:00:00,Jif,1,1,1,1,100,0.01,0.49,0.9849,1951,Grocery & Gourmet Food
25,2017-03-03 0:00:00,KIND,1,1,1,5,100,0.05,0.94,1.927,1951,Grocery & Gourmet Food
26,2017-03-03 0:00:00,Kraft,1,1,1,2,100,0.02,0.66,1.3332,1951,Grocery & Gourmet Food
27,2017-03-03 0:00:00,LaCroix,1,1,1,2,100,0.02,0.89,1.7978,1951,Grocery & Gourmet Food
28,2017-03-03 0:00:00,Land O Lakes,1,1,1,1,100,0.01,0.4,0.804,1951,Grocery & Gourmet Food
29,2017-03-03 0:00:00,Lipton Soup,1,1,1,1,100,0.01,0.04,0.0804,1951,Grocery & Gourmet Food
30,2017-03-03 0:00:00,Lucky Charms,1,1,1,1,100,0.01,0.18,0.3618,1951,Grocery & Gourmet Food
31,2017-03-03 0:00:00,L€RABAR,1,1,1,3,100,0.03,0.27,0.5481,1951,Grocery & Gourmet Food
32,2017-03-03 0:00:00,M & M's,1,1,1,1,100,0.01,0.35,0.7035,1951,Grocery & Gourmet Food
33,2017-03-03 0:00:00,Milliard,1,1,1,1,100,0.01,0.33,0.6633,1951,Grocery & Gourmet Food
34,2017-03-03 0:00:00,Mott's,1,1,1,1,100,0.01,0.17,0.3417,1951,Grocery & Gourmet Food
35,2017-03-03 0:00:00,NO DATA,1,1,1,5,100,0.05,0.74,1.517,1951,Grocery & Gourmet Food
