brand,score
The Original Donut Shop,19.6956019570129
Orgain,19.398252373994
Nespresso OriginalLine,19.1310378879008
Quest Nutrition,19.0217113464462
KIND,18.9786081964319
San Francisco Bay Coffee,18.9448851286763
Great Lakes,17.9222534280835
Fiji Water,17.6591179828451
Viva Naturals,17.6476408255221
smartwater,17.4593975568059
Nestle Pure Life,17.3680929824559
Quaker,17.1250727802816
Soylent,16.7973862994801
Amazon,16.3324463367462
Ritz,15.9577892765854
Kraft,15.4760965554401
RXBAR,15.424731006526
Custom Variety Pack,14.7391395376186
LaCroix,14.6715738952801
Vita Coco,14.5772818332971
Cheerios,14.3840353296261
NO DATA,14.2308910507144
Heinz,14.1862516451364
Rice Krispies,13.8397732647983
Annie's Homegrown,13.5663723343551
Green Mountain Coffee,13.2169004040535
Essentia,12.9919648411298
Pure Protein,12.9070886337396
Haribo,12.8408363651722
Golden State Fruit,12.7792065342267
Clif Bar,12.5427741233749
Carrington Farms,12.5409836510215
Smartfood,12.1984961207467
KaBloom,11.9036165682169
Mott's,11.8244960181641
Sunshine,11.8225538550001
Benchmark Bouquets,11.3591486357507
Bragg,11.1773215117629
Frito Lay,11.1305243445902
Izze,10.8995926380157
Planters,10.829154643597
Lindt,10.7966038126212
Zico Beverages,10.7215714454651
Pop-Tarts,10.6806138590459
Jayone,10.6640446558595
Oreo,10.3288651355589
Orbit Gum,10.1451432704926
Wild Planet,10.1451432704926
Mars,10.1401089475705
damak,9.79928553104401
Wonderful,9.75605154278302
Bumble Bee,9.68400001525879
Porter & York,9.68400001525879
Johnny's,9.67050012201071
Herbal Secrets,9.46450008522896
Peanut Butter & Co.,9.45342838764191
Cracker Jack,9.33904021978378
Beer Nuts,9.24862580639975
AeroGrow,9.22285735607147
Chicken of the Sea,9.13500003516674
Blue Diamond Almonds,9.00556647777557
Stretch Island,8.70641857385635
Bulletproof,8.7048323904023
York,8.6939999461174
Atkins,8.66257412566079
Barrie House,8.59359510242939
Medley Hills Farm,8.59348154730267
goodnessknows,8.50500002503395
Brach's,8.47212822998271
Pepperidge Farm,8.40757490107507
Royal,8.37209051618209
Taster's Choice,8.30057144165039
Tim Hortons,8.30057144165039
Nature's Bakery,8.29284829752786
Two Rivers LLC,8.25299985706806
White Lily,8.18528592586517
Honest Tea,8.18528562784195
Lavazza,8.17255467560488
Vahdam Teas,8.16171407699585
Gerber Graduates,8.12939031557603
Brussel's Bonsai,8.04926659539342
Mentos,8.04792002375637
L€RABAR,7.57039040628106
V8,7.54451622857767
Grandma's,7.49357163906097
Caza Trail,7.44228541851044
Ferrero,7.37439164235978
Cadbury,7.12306776012366
UTZ,7.03242838382721
Propel,7.02848440036178
Fudge Shoppe,6.99300017207861
Fiber One Snacks,6.98291873121086
Doritos,6.92999988794327
Zone Perfect,6.91714286804199
Stacy's,6.90631831947126
Nutiva,6.85180608521808
Ito En,6.84049059119489
Duogreen,6.80185735225677
Trident,6.80185735225677
Kikkoman,6.79341671367486
Jack Links,6.79175505038494
Diet Coke,6.78070378724975
Kiss Me Organics,6.74100004136562
Health Warrior,6.68657124042511
Myojo,6.68657124042511
M & M's,6.57353088955085
Breitsamer,6.57128572463989
GODIVA Chocolatier,6.53811110390557
Nespresso,6.52020608234887
Lakewood,6.45600020885468
Coffee-mate,6.40064751428942
Dove,6.18943052133545
Five Star Gift Baskets,6.11937049362395
BALANCE Bar,6.11014306545258
Plum Organics,6.08982159135242
Cheez-It,6.07067116620866
Zevia,6.06627784669399
DAVID Seeds,6.0625334084034
Honey Maid,5.92548331147746
Custom Varietea,5.91689238494093
Gatorade,5.89929046109319
Sports Research,5.87957143783569
Vega,5.8453589662759
Wolfgang Puck Coffee,5.82192867994308
McCormick,5.76428577303886
Perrier,5.72651096586003
Newman's Own,5.59135720133781
Amazing Grass,5.54400023072958
Honest Kids,5.54400019347668
Pringles,5.48492234696945
Crystal Light,5.46243058310615
Clif Kid ZBar,5.45165601098224
Dunkin' Donuts,5.44176437266703
Land O Lakes,5.44109202394582
Red Bull,5.43341160229929
Nature Valley,5.34163638949394
Tropicana,5.29080652913382
Dole,5.26396409354427
The PUR Company Inc.,5.24555112634386
Enfagrow,5.09966320225171
HERSHEY'S,5.0469229221344
Airheads,4.97699998319149
Enjoy Life Foods,4.91999991734823
Coca-Cola,4.90788773003251
Similac,4.88214997947216
Velveeta,4.85805974952106
Cinnamon Toast Crunch,4.72319020115341
Izze Soda,4.71902586783122
bai,4.69298440184611
Lay's,4.68828565130631
Tully's Coffee,4.61574077606201
Cheetos,4.41846295297146
Jif,4.28598118400333
Taylors of Harrogate,4.21384618832515
NescafŽ,4.15912918746471
Beanitos,4.1502857208252
Poland Spring,4.1502857208252
Froot Loops,4.14275008308537
Martinson,4.12164278328419
Island Fresh,4.11036693502982
Death Wish Coffee Company,3.94702345132828
Baetea,3.92897568105792
NAKED JUICE,3.91971439123154
Pocky,3.91971439123154
Wholesome Sweeteners,3.91971439123154
Nabisco Variety,3.79317298132394
Twizzlers,3.71678669682958
Wrigley's,3.68914276361465
Folgers,3.63835300598294
Cameron's Coffee,3.58348353550984
Milliard,3.53743623657038
Olde Naples Chocolate,3.52800004184246
Kirkland Signature,3.52292023599148
Cascadian Farm,3.458571434021
Reese's,3.43867036012503
Pure Leaf,3.4061538385084
Peet's Coffee,3.35184763101014
Lindor,3.34328562021255
McCafe,3.34328562021255
Wonderful Pistachios,3.32750003784895
Eight O'Clock Coffee,3.25855081077925
Crispy Green,3.22800010442734
Nishiki,3.14708618375544
HAPPY BABY,3.1127142906189
vitaminwater,3.11178260239894
GourmetGiftBaskets.com,3.08699989691377
Zen Spirit,2.88551578032119
Anthony's Goods,2.84653334319592
nutpods,2.66449188689391
Lucky Charms,2.44605644356187
N'Joy,2.4210000038147
Starbucks,2.38356147536341
Slim Jim,2.37015955948404
Nature's Way,2.3629871154712
Hula Delights,2.33944438087443
San Pellegrino,2.2869795224359
Healthworks,2.28026027302639
Twinings,2.23236663503126
ReaLemon,2.23097055054763
Earth's Best,2.12179945503501
Wickedly Prime,2.10385252649967
Sun Chips,1.9898798152627
Bestpresso,1.95985719561577
Sensible Portions,1.95186101577499
Keebler Variety Packs,1.9293094970859
Spectrum,1.92633229945051
Belvita,1.84457138180733
Nutri-Grain,1.7389816610199
uVernal,1.69828572124243
Kinder,1.61400005221367
Life Savers,1.58612597127293
International Delight,1.44832653658731
Keebler,1.41200001041094
Manitoba Harvest,1.35938888939563
Huy Fong,1.35457182033478
Premier Protein,1.28044009081681
Broadway Basketeers,1.07263640246608
The Spice Lab,0.922035719933254
Kellogg's,0.853733165703457
Philadelphia Candies,0.807000026106834
Wheat Thins,0.806999988853931
Jade Leaf Organics,0.63822915777564
Ancient Organics,0.576428584754467
Sparkling ICE,0.576428584754467
Lipton Soup,0.552163262452398
Nick's Sticks,0.461142845451832
Baby's Only Organic,0.3458571434021
Sweet Drops,0.288999998942018
Hunt's,0.241387752549989
Chef Boyardee,0.230571422725916
Sherpa Pink,0.115285711362958
True Citrus,4.7933544293046
