,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,score_30,url_id,category
0,2017-03-03 0:00:00,ALO,1,1,1,3,100,0.03,0.8,1.624,1.624,2156,Juices
1,2017-03-03 0:00:00,Apple & Eve,1,1,1,2,100,0.02,0.92,1.8584,1.8584,2156,Juices
2,2017-03-03 0:00:00,Arctic Zero,1,1,1,1,100,0.01,0.38,0.7638,0.7638,2156,Juices
3,2017-03-03 0:00:00,Capri Sun,1,1,1,4,100,0.04,0.64,1.3056,1.3056,2156,Juices
4,2017-03-03 0:00:00,Cheribundi,1,1,1,2,100,0.02,0.67,1.3534,1.3534,2156,Juices
5,2017-03-03 0:00:00,Country Spoon,1,1,1,1,100,0.01,0.36,0.7236,0.7236,2156,Juices
6,2017-03-03 0:00:00,Dynamic Health,1,1,1,3,100,0.03,0.87,1.7661,1.7661,2156,Juices
7,2017-03-03 0:00:00,Earth's Best,1,1,1,1,100,0.01,0.69,1.3869,1.3869,2156,Juices
8,2017-03-03 0:00:00,Gerber,1,1,1,1,100,0.01,0.12,0.2412,0.2412,2156,Juices
9,2017-03-03 0:00:00,Green Mountain Coffee,1,1,1,1,100,0.01,0.35,0.7035,0.7035,2156,Juices
10,2017-03-03 0:00:00,Grove Square Hot Cider,1,1,1,2,100,0.02,0.66,1.3332,1.3332,2156,Juices
11,2017-03-03 0:00:00,Hi-C,1,1,1,1,100,0.01,0.7,1.407,1.407,2156,Juices
12,2017-03-03 0:00:00,Honest Kids,1,1,1,3,100,0.03,0.68,1.3804,1.3804,2156,Juices
13,2017-03-03 0:00:00,Izze,1,1,1,5,100,0.05,0.98,2.009,2.009,2156,Juices
14,2017-03-03 0:00:00,Izze Soda,1,1,1,5,100,0.05,1,2.05,2.05,2156,Juices
15,2017-03-03 0:00:00,JUICE FROM THE RAW,1,1,1,1,100,0.01,0.4,0.804,0.804,2156,Juices
16,2017-03-03 0:00:00,Jarrow,1,1,1,1,100,0.01,0.23,0.4623,0.4623,2156,Juices
17,2017-03-03 0:00:00,Kool-Aid,1,1,1,1,100,0.01,0.06,0.1206,0.1206,2156,Juices
18,2017-03-03 0:00:00,Lakewood,1,1,1,1,100,0.01,0.27,0.5427,0.5427,2156,Juices
19,2017-03-03 0:00:00,Langer's,1,1,1,1,100,0.01,0.22,0.4422,0.4422,2156,Juices
20,2017-03-03 0:00:00,Made Good,1,1,1,1,100,0.01,0.16,0.3216,0.3216,2156,Juices
21,2017-03-03 0:00:00,Mott's,1,1,1,2,100,0.02,0.94,1.8988,1.8988,2156,Juices
22,2017-03-03 0:00:00,NO DATA,1,1,1,8,100,0.08,0.78,1.6224,1.6224,2156,Juices
23,2017-03-03 0:00:00,Ocean Spray,1,1,1,4,100,0.04,0.44,0.8976,0.8976,2156,Juices
24,2017-03-03 0:00:00,Omura,1,1,1,1,100,0.01,0.15,0.3015,0.3015,2156,Juices
25,2017-03-03 0:00:00,Orgain,1,1,1,1,100,0.01,0.6,1.206,1.206,2156,Juices
26,2017-03-03 0:00:00,POM Wonderful,1,1,1,1,100,0.01,0.29,0.5829,0.5829,2156,Juices
27,2017-03-03 0:00:00,PRECISION FOODS INC,1,1,1,1,100,0.01,0.39,0.7839,0.7839,2156,Juices
28,2017-03-03 0:00:00,Pickle Juice,1,1,1,1,100,0.01,0.41,0.8241,0.8241,2156,Juices
29,2017-03-03 0:00:00,Q Drinks,1,1,1,1,100,0.01,0.04,0.0804,0.0804,2156,Juices
30,2017-03-03 0:00:00,ReaLemon,1,1,1,2,100,0.02,0.93,1.8786,1.8786,2156,Juices
31,2017-03-03 0:00:00,Realime,1,1,1,1,100,0.01,0.76,1.5276,1.5276,2156,Juices
32,2017-03-03 0:00:00,SUPER DETOX ME,1,1,1,1,100,0.01,0.26,0.5226,0.5226,2156,Juices
33,2017-03-03 0:00:00,San Pellegrino,1,1,1,10,100,0.1,0.97,2.037,2.037,2156,Juices
34,2017-03-03 0:00:00,The Switch,1,1,1,1,100,0.01,0.55,1.1055,1.1055,2156,Juices
35,2017-03-03 0:00:00,Tropicana,1,1,1,5,100,0.05,0.99,2.0295,2.0295,2156,Juices
36,2017-03-03 0:00:00,True Citrus,1,1,1,3,100,0.03,0.73,1.4819,1.4819,2156,Juices
37,2017-03-03 0:00:00,V8,1,1,1,12,100,0.12,0.77,1.6324,1.6324,2156,Juices
38,2017-03-03 0:00:00,Zint,1,1,1,1,100,0.01,0.47,0.9447,0.9447,2156,Juices
39,2017-03-03 0:00:00,bai,1,1,1,3,100,0.03,0.95,1.9285,1.9285,2156,Juices
40,2017-03-04 0:00:00,ALO,2,2,1,6,200,0.03,0.81,1.6443,1.6443,2156,Juices
41,2017-03-04 0:00:00,Apple & Eve,2,2,1,5,200,0.025,0.925,1.873125,1.873125,2156,Juices
42,2017-03-04 0:00:00,Arctic Zero,1,2,0.5,1,100,0.01,0.38,0.5738,0.5738,2156,Juices
43,2017-03-04 0:00:00,Capri Sun,2,2,1,9,200,0.045,0.65,1.32925,1.32925,2156,Juices
44,2017-03-04 0:00:00,Cheribundi,2,2,1,4,200,0.02,0.635,1.2827,1.2827,2156,Juices
45,2017-03-04 0:00:00,Country Spoon,2,2,1,2,200,0.01,0.23,0.4623,0.4623,2156,Juices
46,2017-03-04 0:00:00,Dynamic Health,2,2,1,6,200,0.03,0.87,1.7661,1.7661,2156,Juices
47,2017-03-04 0:00:00,Earth's Best,2,2,1,2,200,0.01,0.695,1.39695,1.39695,2156,Juices
48,2017-03-04 0:00:00,Gerber,1,2,0.5,1,100,0.01,0.12,0.1812,0.1812,2156,Juices
49,2017-03-04 0:00:00,Green Mountain Coffee,2,2,1,2,200,0.01,0.35,0.7035,0.7035,2156,Juices
50,2017-03-04 0:00:00,Grove Square Hot Cider,2,2,1,4,200,0.02,0.665,1.3433,1.3433,2156,Juices
51,2017-03-04 0:00:00,Hi-C,2,2,1,2,200,0.01,0.6,1.206,1.206,2156,Juices
52,2017-03-04 0:00:00,Honest Kids,2,2,1,7,200,0.035,0.665,1.353275,1.353275,2156,Juices
53,2017-03-04 0:00:00,Izze,2,2,1,10,200,0.05,0.975,1.99875,1.99875,2156,Juices
54,2017-03-04 0:00:00,Izze Soda,2,2,1,9,200,0.045,1,2.045,2.045,2156,Juices
55,2017-03-04 0:00:00,JUICE FROM THE RAW,2,2,1,2,200,0.01,0.395,0.79395,0.79395,2156,Juices
56,2017-03-04 0:00:00,Jarrow,2,2,1,2,200,0.01,0.23,0.4623,0.4623,2156,Juices
57,2017-03-04 0:00:00,Kool-Aid,2,2,1,2,200,0.01,0.045,0.09045,0.09045,2156,Juices
58,2017-03-04 0:00:00,Lakewood,2,2,1,2,200,0.01,0.21,0.4221,0.4221,2156,Juices
59,2017-03-04 0:00:00,Langer's,2,2,1,2,200,0.01,0.29,0.5829,0.5829,2156,Juices
60,2017-03-04 0:00:00,Made Good,1,2,0.5,1,100,0.01,0.16,0.2416,0.2416,2156,Juices
61,2017-03-04 0:00:00,Mott's,2,2,1,3,200,0.015,0.95,1.91425,1.91425,2156,Juices
62,2017-03-04 0:00:00,NO DATA,2,2,1,13,200,0.065,0.785,1.621025,1.621025,2156,Juices
63,2017-03-04 0:00:00,Navitas Organics,1,2,0.5,1,100,0.01,0.32,0.4832,0.4832,2156,Juices
64,2017-03-04 0:00:00,Ocean Spray,2,2,1,10,200,0.05,0.485,0.99425,0.99425,2156,Juices
65,2017-03-04 0:00:00,Omura,1,2,0.5,1,100,0.01,0.15,0.2265,0.2265,2156,Juices
66,2017-03-04 0:00:00,Orgain,2,2,1,2,200,0.01,0.62,1.2462,1.2462,2156,Juices
67,2017-03-04 0:00:00,POM Wonderful,2,2,1,2,200,0.01,0.275,0.55275,0.55275,2156,Juices
68,2017-03-04 0:00:00,PRECISION FOODS INC,2,2,1,2,200,0.01,0.315,0.63315,0.63315,2156,Juices
69,2017-03-04 0:00:00,Pickle Juice,2,2,1,2,200,0.01,0.355,0.71355,0.71355,2156,Juices
70,2017-03-04 0:00:00,Q Drinks,1,2,0.5,1,100,0.01,0.04,0.0604,0.0604,2156,Juices
71,2017-03-04 0:00:00,ReaLemon,2,2,1,4,200,0.02,0.935,1.8887,1.8887,2156,Juices
72,2017-03-04 0:00:00,Realime,2,2,1,2,200,0.01,0.77,1.5477,1.5477,2156,Juices
73,2017-03-04 0:00:00,SUPER DETOX ME,2,2,1,2,200,0.01,0.32,0.6432,0.6432,2156,Juices
74,2017-03-04 0:00:00,San Pellegrino,2,2,1,21,200,0.105,0.975,2.052375,2.052375,2156,Juices
75,2017-03-04 0:00:00,The Switch,2,2,1,2,200,0.01,0.505,1.01505,1.01505,2156,Juices
76,2017-03-04 0:00:00,Tropicana,2,2,1,10,200,0.05,0.99,2.0295,2.0295,2156,Juices
77,2017-03-04 0:00:00,True Citrus,2,2,1,6,200,0.03,0.745,1.51235,1.51235,2156,Juices
78,2017-03-04 0:00:00,V8,2,2,1,26,200,0.13,0.785,1.67205,1.67205,2156,Juices
79,2017-03-04 0:00:00,Vita Coco,1,2,0.5,1,100,0.01,0.16,0.2416,0.2416,2156,Juices
80,2017-03-04 0:00:00,Zint,2,2,1,2,200,0.01,0.475,0.95475,0.95475,2156,Juices
81,2017-03-04 0:00:00,bai,2,2,1,6,200,0.03,0.95,1.9285,1.9285,2156,Juices
82,2017-03-05 0:00:00,ALO,3,3,1,9,300,0.03,0.806666667,1.637533333,1.637533333,2156,Juices
83,2017-03-05 0:00:00,Apple & Eve,3,3,1,7,300,0.023333333,0.92,1.861466667,1.861466667,2156,Juices
84,2017-03-05 0:00:00,Arctic Zero,1,3,0.333333333,1,100,0.01,0.38,0.510466667,0.510466667,2156,Juices
85,2017-03-05 0:00:00,Capri Sun,3,3,1,14,300,0.046666667,0.68,1.391733333,1.391733333,2156,Juices
86,2017-03-05 0:00:00,Cheribundi,3,3,1,6,300,0.02,0.603333333,1.218733333,1.218733333,2156,Juices
87,2017-03-05 0:00:00,Country Spoon,3,3,1,3,300,0.01,0.163333333,0.3283,0.3283,2156,Juices
88,2017-03-05 0:00:00,Dynamic Health,3,3,1,8,300,0.026666667,0.873333333,1.769955556,1.769955556,2156,Juices
89,2017-03-05 0:00:00,Earth's Best,3,3,1,3,300,0.01,0.72,1.4472,1.4472,2156,Juices
90,2017-03-05 0:00:00,Gerber,1,3,0.333333333,1,100,0.01,0.12,0.1612,0.1612,2156,Juices
91,2017-03-05 0:00:00,Green Mountain Coffee,3,3,1,3,300,0.01,0.386666667,0.7772,0.7772,2156,Juices
92,2017-03-05 0:00:00,Grove Square Hot Cider,3,3,1,5,300,0.016666667,0.636666667,1.283944444,1.283944444,2156,Juices
93,2017-03-05 0:00:00,Hi-C,3,3,1,3,300,0.01,0.43,0.8643,0.8643,2156,Juices
94,2017-03-05 0:00:00,Honest Kids,3,3,1,12,300,0.04,0.683333333,1.394,1.394,2156,Juices
95,2017-03-05 0:00:00,Izze,3,3,1,15,300,0.05,0.976666667,2.002166667,2.002166667,2156,Juices
96,2017-03-05 0:00:00,Izze Soda,3,3,1,13,300,0.043333333,1,2.043333333,2.043333333,2156,Juices
97,2017-03-05 0:00:00,JUICE FROM THE RAW,3,3,1,3,300,0.01,0.33,0.6633,0.6633,2156,Juices
98,2017-03-05 0:00:00,Jarrow,3,3,1,3,300,0.01,0.18,0.3618,0.3618,2156,Juices
99,2017-03-05 0:00:00,Kool-Aid,3,3,1,3,300,0.01,0.053333333,0.1072,0.1072,2156,Juices
100,2017-03-05 0:00:00,Lakewood,3,3,1,3,300,0.01,0.25,0.5025,0.5025,2156,Juices
101,2017-03-05 0:00:00,Langer's,3,3,1,3,300,0.01,0.21,0.4221,0.4221,2156,Juices
102,2017-03-05 0:00:00,Made Good,2,3,0.666666667,2,200,0.01,0.17,0.285033333,0.285033333,2156,Juices
103,2017-03-05 0:00:00,Mott's,3,3,1,4,300,0.013333333,0.95,1.912666667,1.912666667,2156,Juices
104,2017-03-05 0:00:00,NO DATA,3,3,1,19,300,0.063333333,0.786666667,1.623155556,1.623155556,2156,Juices
105,2017-03-05 0:00:00,Navitas Organics,2,3,0.666666667,2,200,0.01,0.37,0.620366667,0.620366667,2156,Juices
106,2017-03-05 0:00:00,Ocean Spray,3,3,1,17,300,0.056666667,0.53,1.090033333,1.090033333,2156,Juices
107,2017-03-05 0:00:00,Omura,1,3,0.333333333,1,100,0.01,0.15,0.2015,0.2015,2156,Juices
108,2017-03-05 0:00:00,Orgain,3,3,1,3,300,0.01,0.613333333,1.2328,1.2328,2156,Juices
109,2017-03-05 0:00:00,POM Wonderful,3,3,1,3,300,0.01,0.286666667,0.5762,0.5762,2156,Juices
110,2017-03-05 0:00:00,PRECISION FOODS INC,3,3,1,3,300,0.01,0.3,0.603,0.603,2156,Juices
111,2017-03-05 0:00:00,Pickle Juice,3,3,1,3,300,0.01,0.373333333,0.7504,0.7504,2156,Juices
112,2017-03-05 0:00:00,Q Drinks,2,3,0.666666667,3,200,0.015,0.095,0.159758333,0.159758333,2156,Juices
113,2017-03-05 0:00:00,ReaLemon,3,3,1,6,300,0.02,0.946666667,1.912266667,1.912266667,2156,Juices
114,2017-03-05 0:00:00,Realime,2,3,0.666666667,2,200,0.01,0.77,1.291033333,1.291033333,2156,Juices
115,2017-03-05 0:00:00,SUPER DETOX ME,3,3,1,3,300,0.01,0.253333333,0.5092,0.5092,2156,Juices
116,2017-03-05 0:00:00,San Pellegrino,3,3,1,32,300,0.106666667,0.98,2.064533333,2.064533333,2156,Juices
117,2017-03-05 0:00:00,The Switch,3,3,1,3,300,0.01,0.54,1.0854,1.0854,2156,Juices
118,2017-03-05 0:00:00,Tropicana,3,3,1,15,300,0.05,0.973333333,1.995333333,1.995333333,2156,Juices
119,2017-03-05 0:00:00,True Citrus,3,3,1,9,300,0.03,0.74,1.5022,1.5022,2156,Juices
