,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,score_30,url_id,category
0,2017-03-03 0:00:00,Barq's,1,1,1,1,100,0.01,0.57,1.1457,1.1457,2158,Soda Soft Drinks
1,2017-03-03 0:00:00,Blue Sky,1,1,1,2,100,0.02,0.33,0.6666,0.6666,2158,Soda Soft Drinks
2,2017-03-03 0:00:00,Brex America,1,1,1,1,100,0.01,0.45,0.9045,0.9045,2158,Soda Soft Drinks
3,2017-03-03 0:00:00,Canada Dry,1,1,1,1,100,0.01,0.12,0.2412,0.2412,2158,Soda Soft Drinks
4,2017-03-03 0:00:00,Coca-Cola,1,1,1,5,100,0.05,0.99,2.0295,2.0295,2158,Soda Soft Drinks
5,2017-03-03 0:00:00,Coca-Cola Life,1,1,1,1,100,0.01,0.76,1.5276,1.5276,2158,Soda Soft Drinks
6,2017-03-03 0:00:00,Coke Zero,1,1,1,4,100,0.04,0.97,1.9788,1.9788,2158,Soda Soft Drinks
7,2017-03-03 0:00:00,Diet Coke,1,1,1,5,100,0.05,1,2.05,2.05,2158,Soda Soft Drinks
8,2017-03-03 0:00:00,Diet Mountain Dew,1,1,1,1,100,0.01,0.86,1.7286,1.7286,2158,Soda Soft Drinks
9,2017-03-03 0:00:00,Fanta,1,1,1,2,100,0.02,0.77,1.5554,1.5554,2158,Soda Soft Drinks
10,2017-03-03 0:00:00,Fever-Tree,1,1,1,5,100,0.05,0.71,1.4555,1.4555,2158,Soda Soft Drinks
11,2017-03-03 0:00:00,Fresca,1,1,1,2,100,0.02,0.64,1.2928,1.2928,2158,Soda Soft Drinks
12,2017-03-03 0:00:00,Gosling's,1,1,1,1,100,0.01,0.46,0.9246,0.9246,2158,Soda Soft Drinks
13,2017-03-03 0:00:00,Hansen's,1,1,1,5,100,0.05,0.55,1.1275,1.1275,2158,Soda Soft Drinks
14,2017-03-03 0:00:00,Hires Big H,1,1,1,1,100,0.01,0.04,0.0804,0.0804,2158,Soda Soft Drinks
15,2017-03-03 0:00:00,Mountain Dew,1,1,1,11,100,0.11,0.82,1.7302,1.7302,2158,Soda Soft Drinks
16,2017-03-03 0:00:00,Mug,1,1,1,1,100,0.01,0.8,1.608,1.608,2158,Soda Soft Drinks
17,2017-03-03 0:00:00,NO DATA,1,1,1,10,100,0.1,0.72,1.512,1.512,2158,Soda Soft Drinks
18,2017-03-03 0:00:00,Neuro,1,1,1,1,100,0.01,0.15,0.3015,0.3015,2158,Soda Soft Drinks
19,2017-03-03 0:00:00,Pepsi,1,1,1,10,100,0.1,0.89,1.869,1.869,2158,Soda Soft Drinks
20,2017-03-03 0:00:00,Q Drinks,1,1,1,2,100,0.02,0.37,0.7474,0.7474,2158,Soda Soft Drinks
21,2017-03-03 0:00:00,Seagram's,1,1,1,1,100,0.01,0.92,1.8492,1.8492,2158,Soda Soft Drinks
22,2017-03-03 0:00:00,Sprite,1,1,1,3,100,0.03,0.94,1.9082,1.9082,2158,Soda Soft Drinks
23,2017-03-03 0:00:00,Surge,1,1,1,1,100,0.01,0.91,1.8291,1.8291,2158,Soda Soft Drinks
24,2017-03-03 0:00:00,Top Hat,1,1,1,1,100,0.01,0.27,0.5427,0.5427,2158,Soda Soft Drinks
25,2017-03-03 0:00:00,Zevia,1,1,1,12,100,0.12,0.93,1.9716,1.9716,2158,Soda Soft Drinks
26,2017-03-03 0:00:00,Zico Beverages,1,1,1,1,100,0.01,0.48,0.9648,0.9648,2158,Soda Soft Drinks
27,2017-03-03 0:00:00,bai,1,1,1,9,100,0.09,0.98,2.0482,2.0482,2158,Soda Soft Drinks
28,2017-03-04 0:00:00,Barq's,2,2,1,2,200,0.01,0.625,1.25625,1.25625,2158,Soda Soft Drinks
29,2017-03-04 0:00:00,Blue Sky,2,2,1,5,200,0.025,0.275,0.556875,0.556875,2158,Soda Soft Drinks
30,2017-03-04 0:00:00,Brex America,2,2,1,2,200,0.01,0.385,0.77385,0.77385,2158,Soda Soft Drinks
31,2017-03-04 0:00:00,Canada Dry,1,2,0.5,1,100,0.01,0.12,0.1812,0.1812,2158,Soda Soft Drinks
32,2017-03-04 0:00:00,Coca-Cola,2,2,1,11,200,0.055,0.99,2.03445,2.03445,2158,Soda Soft Drinks
33,2017-03-04 0:00:00,Coca-Cola Life,2,2,1,2,200,0.01,0.765,1.53765,1.53765,2158,Soda Soft Drinks
34,2017-03-04 0:00:00,Coke Zero,2,2,1,8,200,0.04,0.97,1.9788,1.9788,2158,Soda Soft Drinks
35,2017-03-04 0:00:00,Diet Coke,2,2,1,9,200,0.045,1,2.045,2.045,2158,Soda Soft Drinks
36,2017-03-04 0:00:00,Diet Mountain Dew,2,2,1,2,200,0.01,0.875,1.75875,1.75875,2158,Soda Soft Drinks
37,2017-03-04 0:00:00,Fanta,2,2,1,4,200,0.02,0.785,1.5857,1.5857,2158,Soda Soft Drinks
38,2017-03-04 0:00:00,Fever-Tree,2,2,1,10,200,0.05,0.725,1.48625,1.48625,2158,Soda Soft Drinks
39,2017-03-04 0:00:00,Fresca,2,2,1,4,200,0.02,0.645,1.3029,1.3029,2158,Soda Soft Drinks
40,2017-03-04 0:00:00,Gosling's,2,2,1,2,200,0.01,0.455,0.91455,0.91455,2158,Soda Soft Drinks
41,2017-03-04 0:00:00,Hansen's,2,2,1,9,200,0.045,0.46,0.9407,0.9407,2158,Soda Soft Drinks
42,2017-03-04 0:00:00,Hires Big H,1,2,0.5,1,100,0.01,0.04,0.0604,0.0604,2158,Soda Soft Drinks
