Baby,Grocery
2.14,1.97
2.14,1.94
2.09,1.91
1.93,1.90
1.86,1.90
1.81,1.89
1.74,1.79
1.63,1.77
1.58,1.76
1.47,1.75
1.39,1.74
1.30,1.71
1.27,1.68
1.00,1.63
0.99,1.60
0.90,1.55
0.88,1.54
0.85,1.47
0.52,1.47
0.52,1.46
0.40,1.44
0.29,1.42
0.29,1.42
0.28,1.38
0.26,1.36
0.24,1.32
0.22,1.30
0.21,1.29
0.12,1.28
0.07,1.28
0.05,1.25
,1.25
,1.22
,1.19
,1.18
,1.18
,1.14
,1.12
,1.11
,1.09
,1.08
,1.08
,1.07
,1.07
,1.07
,1.03
,1.01
,1.01
,1.01
,0.98
,0.98
,0.97
,0.97
,0.97
,0.95
,0.95
,0.93
,0.92
,0.92
,0.91
,0.90
,0.87
,0.87
,0.87
,0.87
,0.86
,0.86
,0.85
,0.85
,0.84
,0.84
,0.83
,0.83
,0.83
,0.83
,0.82
,0.82
,0.82
,0.82
,0.81
,0.80
,0.80
,0.76
,0.75
,0.75
,0.74
,0.74
,0.71
,0.70
,0.70
,0.70
,0.70
,0.69
,0.69
,0.69
,0.69
,0.68
,0.68
,0.68
,0.68
,0.68
,0.68
,0.67
,0.67
,0.67
,0.66
,0.66
,0.65
,0.65
,0.65
,0.64
,0.62
,0.61
,0.61
,0.61
,0.61
,0.61
,0.61
,0.59
,0.59
,0.59
,0.59
,0.58
,0.58
,0.58
,0.57
,0.56
,0.55
,0.55
,0.55
,0.55
,0.55
,0.54
,0.54
,0.54
,0.53
,0.53
,0.53
,0.52
,0.51
,0.50
,0.50
,0.49
,0.49
,0.49
,0.49
,0.48
,0.47
,0.47
,0.47
,0.47
,0.46
,0.44
,0.43
,0.42
,0.42
,0.42
,0.42
,0.41
,0.41
,0.41
,0.39
,0.39
,0.39
,0.39
,0.39
,0.38
,0.37
,0.37
,0.36
,0.36
,0.35
,0.35
,0.35
,0.35
,0.34
,0.34
,0.34
,0.33
,0.33
,0.33
,0.33
,0.32
,0.31
,0.31
,0.31
,0.31
,0.29
,0.28
,0.27
,0.24
,0.24
,0.24
,0.24
,0.24
,0.23
,0.23
,0.23
,0.22
,0.22
,0.21
,0.21
,0.20
,0.20
,0.20
,0.19
,0.19
,0.18
,0.17
,0.17
,0.16
,0.16
,0.14
,0.14
,0.14
,0.14
,0.13
,0.11
,0.09
,0.09
,0.08
,0.08
,0.06
,0.06
,0.06
,0.06
,0.05
,0.03
,0.03
,0.02
,0.02
,0.01
