,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
0,2017-03-03 0:00:00,Baby's Only,1,1,1,1,100,0.01,0.73,1,1,1,1,100,0.01,0.73,1,1,1,1,100,0.01,0.73,1,1,1,1,100,0.01,0.73,1,1,1,1,100,0.01,0.73,1,1,1,1,100,0.01,0.73,1.4673,1.4673,1.4673,1.4673,1.4673,1.4673,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
1,2017-03-03 0:00:00,Earth's Best,1,1,1,18,100,0.18,1,1,1,1,18,100,0.18,1,1,1,1,18,100,0.18,1,1,1,1,18,100,0.18,1,1,1,1,18,100,0.18,1,1,1,1,18,100,0.18,1,2.18,2.18,2.18,2.18,2.18,2.18,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
2,2017-03-03 0:00:00,Enfagrow,1,1,1,4,100,0.04,0.96,1,1,1,4,100,0.04,0.96,1,1,1,4,100,0.04,0.96,1,1,1,4,100,0.04,0.96,1,1,1,4,100,0.04,0.96,1,1,1,4,100,0.04,0.96,1.9584,1.9584,1.9584,1.9584,1.9584,1.9584,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
3,2017-03-03 0:00:00,Enfamil,1,1,1,12,100,0.12,0.91,1,1,1,12,100,0.12,0.91,1,1,1,12,100,0.12,0.91,1,1,1,12,100,0.12,0.91,1,1,1,12,100,0.12,0.91,1,1,1,12,100,0.12,0.91,1.9292,1.9292,1.9292,1.9292,1.9292,1.9292,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
4,2017-03-03 0:00:00,Gerber Good Start Infant Formula,1,1,1,4,100,0.04,0.62,1,1,1,4,100,0.04,0.62,1,1,1,4,100,0.04,0.62,1,1,1,4,100,0.04,0.62,1,1,1,4,100,0.04,0.62,1,1,1,4,100,0.04,0.62,1.2648,1.2648,1.2648,1.2648,1.2648,1.2648,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
5,2017-03-03 0:00:00,Gerber Graduates,1,1,1,5,100,0.05,0.95,1,1,1,5,100,0.05,0.95,1,1,1,5,100,0.05,0.95,1,1,1,5,100,0.05,0.95,1,1,1,5,100,0.05,0.95,1,1,1,5,100,0.05,0.95,1.9475,1.9475,1.9475,1.9475,1.9475,1.9475,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
6,2017-03-03 0:00:00,Gerber Purees,1,1,1,2,100,0.02,0.74,1,1,1,2,100,0.02,0.74,1,1,1,2,100,0.02,0.74,1,1,1,2,100,0.02,0.74,1,1,1,2,100,0.02,0.74,1,1,1,2,100,0.02,0.74,1.4948,1.4948,1.4948,1.4948,1.4948,1.4948,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
7,2017-03-03 0:00:00,HAPPY BABY,1,1,1,9,100,0.09,0.84,1,1,1,9,100,0.09,0.84,1,1,1,9,100,0.09,0.84,1,1,1,9,100,0.09,0.84,1,1,1,9,100,0.09,0.84,1,1,1,9,100,0.09,0.84,1.7556,1.7556,1.7556,1.7556,1.7556,1.7556,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
8,2017-03-03 0:00:00,Happy Baby,1,1,1,1,100,0.01,0.94,1,1,1,1,100,0.01,0.94,1,1,1,1,100,0.01,0.94,1,1,1,1,100,0.01,0.94,1,1,1,1,100,0.01,0.94,1,1,1,1,100,0.01,0.94,1.8894,1.8894,1.8894,1.8894,1.8894,1.8894,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
9,2017-03-03 0:00:00,Hot Kid,1,1,1,1,100,0.01,0.1,1,1,1,1,100,0.01,0.1,1,1,1,1,100,0.01,0.1,1,1,1,1,100,0.01,0.1,1,1,1,1,100,0.01,0.1,1,1,1,1,100,0.01,0.1,0.201,0.201,0.201,0.201,0.201,0.201,Rank * (Real Estate * Visibility + 1),1973,Baby Foods
