,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
0,2017-03-03 0:00:00,Barista Prima,1,1,1,1,100,0.01,0.18,1,1,1,1,100,0.01,0.18,1,1,1,1,100,0.01,0.18,1,1,1,1,100,0.01,0.18,1,1,1,1,100,0.01,0.18,1,1,1,1,100,0.01,0.18,0.3618,0.3618,0.3618,0.3618,0.3618,0.3618,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
1,2017-03-03 0:00:00,Beantown Roasters,1,1,1,2,100,0.02,0.59,1,1,1,2,100,0.02,0.59,1,1,1,2,100,0.02,0.59,1,1,1,2,100,0.02,0.59,1,1,1,2,100,0.02,0.59,1,1,1,2,100,0.02,0.59,1.1918,1.1918,1.1918,1.1918,1.1918,1.1918,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
2,2017-03-03 0:00:00,Bestpresso,1,1,1,1,100,0.01,0.88,1,1,1,1,100,0.01,0.88,1,1,1,1,100,0.01,0.88,1,1,1,1,100,0.01,0.88,1,1,1,1,100,0.01,0.88,1,1,1,1,100,0.01,0.88,1.7688,1.7688,1.7688,1.7688,1.7688,1.7688,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
3,2017-03-03 0:00:00,BulletProof,1,1,1,1,100,0.01,0.31,1,1,1,1,100,0.01,0.31,1,1,1,1,100,0.01,0.31,1,1,1,1,100,0.01,0.31,1,1,1,1,100,0.01,0.31,1,1,1,1,100,0.01,0.31,0.6231,0.6231,0.6231,0.6231,0.6231,0.6231,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
4,2017-03-03 0:00:00,Cafe Don Pablo,1,1,1,1,100,0.01,0.61,1,1,1,1,100,0.01,0.61,1,1,1,1,100,0.01,0.61,1,1,1,1,100,0.01,0.61,1,1,1,1,100,0.01,0.61,1,1,1,1,100,0.01,0.61,1.2261,1.2261,1.2261,1.2261,1.2261,1.2261,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
5,2017-03-03 0:00:00,Café Escapes,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1.3869,1.3869,1.3869,1.3869,1.3869,1.3869,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
6,2017-03-03 0:00:00,Caribou Coffee,1,1,1,1,100,0.01,0.4,1,1,1,1,100,0.01,0.4,1,1,1,1,100,0.01,0.4,1,1,1,1,100,0.01,0.4,1,1,1,1,100,0.01,0.4,1,1,1,1,100,0.01,0.4,0.804,0.804,0.804,0.804,0.804,0.804,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
7,2017-03-03 0:00:00,Caza Trail,1,1,1,2,100,0.02,0.76,1,1,1,2,100,0.02,0.76,1,1,1,2,100,0.02,0.76,1,1,1,2,100,0.02,0.76,1,1,1,2,100,0.02,0.76,1,1,1,2,100,0.02,0.76,1.5352,1.5352,1.5352,1.5352,1.5352,1.5352,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
8,2017-03-03 0:00:00,Crazy Cups,1,1,1,1,100,0.01,0.03,1,1,1,1,100,0.01,0.03,1,1,1,1,100,0.01,0.03,1,1,1,1,100,0.01,0.03,1,1,1,1,100,0.01,0.03,1,1,1,1,100,0.01,0.03,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
9,2017-03-03 0:00:00,Custom Variety Pack,1,1,1,2,100,0.02,0.96,1,1,1,2,100,0.02,0.96,1,1,1,2,100,0.02,0.96,1,1,1,2,100,0.02,0.96,1,1,1,2,100,0.02,0.96,1,1,1,2,100,0.02,0.96,1.9392,1.9392,1.9392,1.9392,1.9392,1.9392,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
10,2017-03-03 0:00:00,Death Wish Coffee Company,1,1,1,3,100,0.03,0.79,1,1,1,3,100,0.03,0.79,1,1,1,3,100,0.03,0.79,1,1,1,3,100,0.03,0.79,1,1,1,3,100,0.03,0.79,1,1,1,3,100,0.03,0.79,1.6037,1.6037,1.6037,1.6037,1.6037,1.6037,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
11,2017-03-03 0:00:00,Donut House Collection,1,1,1,1,100,0.01,0.41,1,1,1,1,100,0.01,0.41,1,1,1,1,100,0.01,0.41,1,1,1,1,100,0.01,0.41,1,1,1,1,100,0.01,0.41,1,1,1,1,100,0.01,0.41,0.8241,0.8241,0.8241,0.8241,0.8241,0.8241,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
12,2017-03-03 0:00:00,Dunkin' Donuts,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1.624,1.624,1.624,1.624,1.624,1.624,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
13,2017-03-03 0:00:00,Eight O'Clock Coffee,1,1,1,3,100,0.03,0.85,1,1,1,3,100,0.03,0.85,1,1,1,3,100,0.03,0.85,1,1,1,3,100,0.03,0.85,1,1,1,3,100,0.03,0.85,1,1,1,3,100,0.03,0.85,1.7255,1.7255,1.7255,1.7255,1.7255,1.7255,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
14,2017-03-03 0:00:00,Folgers,1,1,1,2,100,0.02,0.91,1,1,1,2,100,0.02,0.91,1,1,1,2,100,0.02,0.91,1,1,1,2,100,0.02,0.91,1,1,1,2,100,0.02,0.91,1,1,1,2,100,0.02,0.91,1.8382,1.8382,1.8382,1.8382,1.8382,1.8382,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
15,2017-03-03 0:00:00,Four Sigma Foods,1,1,1,1,100,0.01,0.72,1,1,1,1,100,0.01,0.72,1,1,1,1,100,0.01,0.72,1,1,1,1,100,0.01,0.72,1,1,1,1,100,0.01,0.72,1,1,1,1,100,0.01,0.72,1.4472,1.4472,1.4472,1.4472,1.4472,1.4472,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
16,2017-03-03 0:00:00,Fusionroaster75,1,1,1,1,100,0.01,0.63,1,1,1,1,100,0.01,0.63,1,1,1,1,100,0.01,0.63,1,1,1,1,100,0.01,0.63,1,1,1,1,100,0.01,0.63,1,1,1,1,100,0.01,0.63,1.2663,1.2663,1.2663,1.2663,1.2663,1.2663,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
17,2017-03-03 0:00:00,Gevalia K-Cup Coffee,1,1,1,1,100,0.01,0.37,1,1,1,1,100,0.01,0.37,1,1,1,1,100,0.01,0.37,1,1,1,1,100,0.01,0.37,1,1,1,1,100,0.01,0.37,1,1,1,1,100,0.01,0.37,0.7437,0.7437,0.7437,0.7437,0.7437,0.7437,Rank * (Real Estate * Visibility + 1),2154,Coffee Beverages
