,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
0,2017-03-03 0:00:00,AQUAhydrate,1,1,1,1,100,0.01,0.01,1,1,1,1,100,0.01,0.01,1,1,1,1,100,0.01,0.01,1,1,1,1,100,0.01,0.01,1,1,1,1,100,0.01,0.01,1,1,1,1,100,0.01,0.01,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
1,2017-03-03 0:00:00,Acqua Panna,1,1,1,1,100,0.01,0.05,1,1,1,1,100,0.01,0.05,1,1,1,1,100,0.01,0.05,1,1,1,1,100,0.01,0.05,1,1,1,1,100,0.01,0.05,1,1,1,1,100,0.01,0.05,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
2,2017-03-03 0:00:00,Aquafina,1,1,1,1,100,0.01,0.64,1,1,1,1,100,0.01,0.64,1,1,1,1,100,0.01,0.64,1,1,1,1,100,0.01,0.64,1,1,1,1,100,0.01,0.64,1,1,1,1,100,0.01,0.64,1.2864,1.2864,1.2864,1.2864,1.2864,1.2864,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
3,2017-03-03 0:00:00,Celsius,1,1,1,2,100,0.02,0.27,1,1,1,2,100,0.02,0.27,1,1,1,2,100,0.02,0.27,1,1,1,2,100,0.02,0.27,1,1,1,2,100,0.02,0.27,1,1,1,2,100,0.02,0.27,0.5454,0.5454,0.5454,0.5454,0.5454,0.5454,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
4,2017-03-03 0:00:00,Dasani,1,1,1,2,100,0.02,0.78,1,1,1,2,100,0.02,0.78,1,1,1,2,100,0.02,0.78,1,1,1,2,100,0.02,0.78,1,1,1,2,100,0.02,0.78,1,1,1,2,100,0.02,0.78,1.5756,1.5756,1.5756,1.5756,1.5756,1.5756,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
5,2017-03-03 0:00:00,Essentia,1,1,1,3,100,0.03,0.96,1,1,1,3,100,0.03,0.96,1,1,1,3,100,0.03,0.96,1,1,1,3,100,0.03,0.96,1,1,1,3,100,0.03,0.96,1,1,1,3,100,0.03,0.96,1.9488,1.9488,1.9488,1.9488,1.9488,1.9488,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
6,2017-03-03 0:00:00,Fiji Water,1,1,1,5,100,0.05,0.98,1,1,1,5,100,0.05,0.98,1,1,1,5,100,0.05,0.98,1,1,1,5,100,0.05,0.98,1,1,1,5,100,0.05,0.98,1,1,1,5,100,0.05,0.98,2.009,2.009,2.009,2.009,2.009,2.009,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
7,2017-03-03 0:00:00,Hint,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1.624,1.624,1.624,1.624,1.624,1.624,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
8,2017-03-03 0:00:00,Icelandic Glacial,1,1,1,1,100,0.01,0.11,1,1,1,1,100,0.01,0.11,1,1,1,1,100,0.01,0.11,1,1,1,1,100,0.01,0.11,1,1,1,1,100,0.01,0.11,1,1,1,1,100,0.01,0.11,0.2211,0.2211,0.2211,0.2211,0.2211,0.2211,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
9,2017-03-03 0:00:00,LIFEWTR,1,1,1,2,100,0.02,0.29,1,1,1,2,100,0.02,0.29,1,1,1,2,100,0.02,0.29,1,1,1,2,100,0.02,0.29,1,1,1,2,100,0.02,0.29,1,1,1,2,100,0.02,0.29,0.5858,0.5858,0.5858,0.5858,0.5858,0.5858,Rank * (Real Estate * Visibility + 1),2161,Drinking Water
