,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
0,2017-03-03 0:00:00,ALO,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1,1,1,3,100,0.03,0.8,1.624,1.624,1.624,1.624,1.624,1.624,Rank * (Real Estate * Visibility + 1),2156,Juices
1,2017-03-03 0:00:00,Apple & Eve,1,1,1,2,100,0.02,0.92,1,1,1,2,100,0.02,0.92,1,1,1,2,100,0.02,0.92,1,1,1,2,100,0.02,0.92,1,1,1,2,100,0.02,0.92,1,1,1,2,100,0.02,0.92,1.8584,1.8584,1.8584,1.8584,1.8584,1.8584,Rank * (Real Estate * Visibility + 1),2156,Juices
2,2017-03-03 0:00:00,Arctic Zero,1,1,1,1,100,0.01,0.38,1,1,1,1,100,0.01,0.38,1,1,1,1,100,0.01,0.38,1,1,1,1,100,0.01,0.38,1,1,1,1,100,0.01,0.38,1,1,1,1,100,0.01,0.38,0.7638,0.7638,0.7638,0.7638,0.7638,0.7638,Rank * (Real Estate * Visibility + 1),2156,Juices
3,2017-03-03 0:00:00,Capri Sun,1,1,1,4,100,0.04,0.64,1,1,1,4,100,0.04,0.64,1,1,1,4,100,0.04,0.64,1,1,1,4,100,0.04,0.64,1,1,1,4,100,0.04,0.64,1,1,1,4,100,0.04,0.64,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,Rank * (Real Estate * Visibility + 1),2156,Juices
4,2017-03-03 0:00:00,Cheribundi,1,1,1,2,100,0.02,0.67,1,1,1,2,100,0.02,0.67,1,1,1,2,100,0.02,0.67,1,1,1,2,100,0.02,0.67,1,1,1,2,100,0.02,0.67,1,1,1,2,100,0.02,0.67,1.3534,1.3534,1.3534,1.3534,1.3534,1.3534,Rank * (Real Estate * Visibility + 1),2156,Juices
5,2017-03-03 0:00:00,Country Spoon,1,1,1,1,100,0.01,0.36,1,1,1,1,100,0.01,0.36,1,1,1,1,100,0.01,0.36,1,1,1,1,100,0.01,0.36,1,1,1,1,100,0.01,0.36,1,1,1,1,100,0.01,0.36,0.7236,0.7236,0.7236,0.7236,0.7236,0.7236,Rank * (Real Estate * Visibility + 1),2156,Juices
6,2017-03-03 0:00:00,Dynamic Health,1,1,1,3,100,0.03,0.87,1,1,1,3,100,0.03,0.87,1,1,1,3,100,0.03,0.87,1,1,1,3,100,0.03,0.87,1,1,1,3,100,0.03,0.87,1,1,1,3,100,0.03,0.87,1.7661,1.7661,1.7661,1.7661,1.7661,1.7661,Rank * (Real Estate * Visibility + 1),2156,Juices
7,2017-03-03 0:00:00,Earth's Best,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1,1,1,1,100,0.01,0.69,1.3869,1.3869,1.3869,1.3869,1.3869,1.3869,Rank * (Real Estate * Visibility + 1),2156,Juices
8,2017-03-03 0:00:00,Gerber,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,0.2412,0.2412,0.2412,0.2412,0.2412,0.2412,Rank * (Real Estate * Visibility + 1),2156,Juices
9,2017-03-03 0:00:00,Green Mountain Coffee,1,1,1,1,100,0.01,0.35,1,1,1,1,100,0.01,0.35,1,1,1,1,100,0.01,0.35,1,1,1,1,100,0.01,0.35,1,1,1,1,100,0.01,0.35,1,1,1,1,100,0.01,0.35,0.7035,0.7035,0.7035,0.7035,0.7035,0.7035,Rank * (Real Estate * Visibility + 1),2156,Juices
10,2017-03-03 0:00:00,Grove Square Hot Cider,1,1,1,2,100,0.02,0.66,1,1,1,2,100,0.02,0.66,1,1,1,2,100,0.02,0.66,1,1,1,2,100,0.02,0.66,1,1,1,2,100,0.02,0.66,1,1,1,2,100,0.02,0.66,1.3332,1.3332,1.3332,1.3332,1.3332,1.3332,Rank * (Real Estate * Visibility + 1),2156,Juices
11,2017-03-03 0:00:00,Hi-C,1,1,1,1,100,0.01,0.7,1,1,1,1,100,0.01,0.7,1,1,1,1,100,0.01,0.7,1,1,1,1,100,0.01,0.7,1,1,1,1,100,0.01,0.7,1,1,1,1,100,0.01,0.7,1.407,1.407,1.407,1.407,1.407,1.407,Rank * (Real Estate * Visibility + 1),2156,Juices
12,2017-03-03 0:00:00,Honest Kids,1,1,1,3,100,0.03,0.68,1,1,1,3,100,0.03,0.68,1,1,1,3,100,0.03,0.68,1,1,1,3,100,0.03,0.68,1,1,1,3,100,0.03,0.68,1,1,1,3,100,0.03,0.68,1.3804,1.3804,1.3804,1.3804,1.3804,1.3804,Rank * (Real Estate * Visibility + 1),2156,Juices
