,date,brand,days_visible_365,days_measured_365,visibility_365,appearances_365,opportunities_365,share_365,avg_normalized_inverted_rank_365,days_visible_90,days_measured_90,visibility_90,appearances_90,opportunities_90,share_90,avg_normalized_inverted_rank_90,days_visible_30,days_measured_30,visibility_30,appearances_30,opportunities_30,share_30,avg_normalized_inverted_rank_30,days_visible_14,days_measured_14,visibility_14,appearances_14,opportunities_14,share_14,avg_normalized_inverted_rank_14,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,days_visible_1,days_measured_1,visibility_1,appearances_1,opportunities_1,share_1,avg_normalized_inverted_rank_1,score_1,score_7,score_14,score_30,score_90,score_365,methodology,url_id,category
0,2017-03-03 0:00:00,Barq's,1,1,1,1,100,0.01,0.57,1,1,1,1,100,0.01,0.57,1,1,1,1,100,0.01,0.57,1,1,1,1,100,0.01,0.57,1,1,1,1,100,0.01,0.57,1,1,1,1,100,0.01,0.57,1.1457,1.1457,1.1457,1.1457,1.1457,1.1457,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
1,2017-03-03 0:00:00,Blue Sky,1,1,1,2,100,0.02,0.33,1,1,1,2,100,0.02,0.33,1,1,1,2,100,0.02,0.33,1,1,1,2,100,0.02,0.33,1,1,1,2,100,0.02,0.33,1,1,1,2,100,0.02,0.33,0.6666,0.6666,0.6666,0.6666,0.6666,0.6666,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
2,2017-03-03 0:00:00,Brex America,1,1,1,1,100,0.01,0.45,1,1,1,1,100,0.01,0.45,1,1,1,1,100,0.01,0.45,1,1,1,1,100,0.01,0.45,1,1,1,1,100,0.01,0.45,1,1,1,1,100,0.01,0.45,0.9045,0.9045,0.9045,0.9045,0.9045,0.9045,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
3,2017-03-03 0:00:00,Canada Dry,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,1,1,1,1,100,0.01,0.12,0.2412,0.2412,0.2412,0.2412,0.2412,0.2412,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
4,2017-03-03 0:00:00,Coca-Cola,1,1,1,5,100,0.05,0.99,1,1,1,5,100,0.05,0.99,1,1,1,5,100,0.05,0.99,1,1,1,5,100,0.05,0.99,1,1,1,5,100,0.05,0.99,1,1,1,5,100,0.05,0.99,2.0295,2.0295,2.0295,2.0295,2.0295,2.0295,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
5,2017-03-03 0:00:00,Coca-Cola Life,1,1,1,1,100,0.01,0.76,1,1,1,1,100,0.01,0.76,1,1,1,1,100,0.01,0.76,1,1,1,1,100,0.01,0.76,1,1,1,1,100,0.01,0.76,1,1,1,1,100,0.01,0.76,1.5276,1.5276,1.5276,1.5276,1.5276,1.5276,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
6,2017-03-03 0:00:00,Coke Zero,1,1,1,4,100,0.04,0.97,1,1,1,4,100,0.04,0.97,1,1,1,4,100,0.04,0.97,1,1,1,4,100,0.04,0.97,1,1,1,4,100,0.04,0.97,1,1,1,4,100,0.04,0.97,1.9788,1.9788,1.9788,1.9788,1.9788,1.9788,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
7,2017-03-03 0:00:00,Diet Coke,1,1,1,5,100,0.05,1,1,1,1,5,100,0.05,1,1,1,1,5,100,0.05,1,1,1,1,5,100,0.05,1,1,1,1,5,100,0.05,1,1,1,1,5,100,0.05,1,2.05,2.05,2.05,2.05,2.05,2.05,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
8,2017-03-03 0:00:00,Diet Mountain Dew,1,1,1,1,100,0.01,0.86,1,1,1,1,100,0.01,0.86,1,1,1,1,100,0.01,0.86,1,1,1,1,100,0.01,0.86,1,1,1,1,100,0.01,0.86,1,1,1,1,100,0.01,0.86,1.7286,1.7286,1.7286,1.7286,1.7286,1.7286,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
9,2017-03-03 0:00:00,Fanta,1,1,1,2,100,0.02,0.77,1,1,1,2,100,0.02,0.77,1,1,1,2,100,0.02,0.77,1,1,1,2,100,0.02,0.77,1,1,1,2,100,0.02,0.77,1,1,1,2,100,0.02,0.77,1.5554,1.5554,1.5554,1.5554,1.5554,1.5554,Rank * (Real Estate * Visibility + 1),2158,Soda Soft Drinks
