category,node,id,parent_id,parent_category,level,start_1,start_7,start_14,start_30,start_90,start_365
"Clothing, Shoes & Jewelry",https://www.amazon.com/Best-Sellers/zgbs/fashion/ref=zg_bs_nav_0,3582,,,1,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Fashion,7147440011,3583,3582,"Clothing, Shoes & Jewelry",2,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Clothing,1040660,1897,3583,Women's Fashion,3,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Women's Dresses,1045024,3585,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Tops & Tees,2368343011,1924,1897,Women's Clothing,4,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Women's Sweaters,1044456,3600,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Hoodies & Sweatshirts,1258603011,3605,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Jeans,1048188,3606,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Pants,1048184,3607,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Skirts,1045022,3611,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Shorts,1048186,3615,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Leggings,1258967011,3618,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Activewear,3456051,3619,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Swimsuits & Cover Ups,1046622,3634,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
"Women's Lingerie, Sleep & Lounge",9522931011,3645,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
"Women's Jumpsuits, Rompers & Overalls",9522930011,3687,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
"Women's Coats, Jackets & Vests",1044646,1914,1897,Women's Clothing,4,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Women's Suiting & Blazers,9522932011,3707,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Women's Socks & Hosiery,1044886,3711,1897,Women's Clothing,4,6/30/17,7/6/17,7/13/17,7/29/17,,
Men's Fashion,7147441011,5327,3582,"Clothing, Shoes & Jewelry",2,7/1/17,7/7/17,7/14/17,7/31/17,,
Men's Clothing,1040658,1898,5327,Men's Fashion,3,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Men's Underwear,1045706,2607,1898,Men's Clothing,4,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Men's Boxer Briefs,1045718,2178,2607,Men's Underwear,5,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Beauty & Personal Care,https://www.amazon.com/Best-Sellers-Beauty/zgbs/beauty/ref=zg_bs_nav_0,1953,,,1,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Bath & Bathing Accessories,11055991,1954,1953,Beauty & Personal Care,2,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Perfumes & Fragrances,11056591,1955,1953,Beauty & Personal Care,2,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Beauty Gift Sets,11057131,9,1953,Beauty & Personal Care,2,6/27/17,7/3/17,7/10/17,7/26/17,,
Hair Care Products,11057241,1956,1953,Beauty & Personal Care,2,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Makeup,11058281,1957,1953,Beauty & Personal Care,2,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Skin Care Products,11060451,1893,1953,Beauty & Personal Care,2,3/3/17,3/9/17,3/16/17,4/1/17,5/31/17,
Beauty Tools & Accessories,11062741,2959,1953,Beauty & Personal Care,2,3/31/17,4/6/17,4/13/17,4/29/17,6/28/17,
Facial Skin Care,11060711,2642,1893,Skin Care Products,3,3/9/17,3/15/17,3/22/17,4/7/17,6/6/17,
Facial Treatments & Masks,11062031,2648,2642,Facial Skin Care,4,3/9/17,3/15/17,3/22/17,4/7/17,6/6/17,
Facial Acids & Peels,7792926011,224,2648,Facial Treatments & Masks,5,6/27/17,7/3/17,7/10/17,7/27/17,,
