url_id,category,fact_date,brand,overall_score_365,overall_score_90,overall_score_30,overall_score_14,overall_score_7,overall_score_1
2642,Facial Skin Care,2017-03-09,Amara Organics,0.7236,0.7236,0.7236,0.7236,0.7236,0.7236
2642,Facial Skin Care,2017-03-09,AmazonBasics,1.4271,1.4271,1.4271,1.4271,1.4271,1.4271
2642,Facial Skin Care,2017-03-09,Aria Starr Beauty,0.1608,0.1608,0.1608,0.1608,0.1608,0.1608
2642,Facial Skin Care,2017-03-09,ArtNaturals,0.402,0.402,0.402,0.402,0.402,0.402
2642,Facial Skin Care,2017-03-09,Aspen Kay Naturals,0.603,0.603,0.603,0.603,0.603,0.603
2642,Facial Skin Care,2017-03-09,Aveeno,1.734,1.734,1.734,1.734,1.734,1.734
2642,Facial Skin Care,2017-03-09,Aztec Secret,2.02,2.02,2.02,2.02,2.02,2.02
2642,Facial Skin Care,2017-03-09,Baebody,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494
2642,Facial Skin Care,2017-03-09,Bio-Oil,1.9095,1.9095,1.9095,1.9095,1.9095,1.9095
2642,Facial Skin Care,2017-03-09,Bioderma,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603
2642,Facial Skin Care,2017-03-09,Bioré,1.4544,1.4544,1.4544,1.4544,1.4544,1.4544
2642,Facial Skin Care,2017-03-09,Body Merry,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819
2642,Facial Skin Care,2017-03-09,CeraVe,1.656,1.656,1.656,1.656,1.656,1.656
2642,Facial Skin Care,2017-03-09,Cetaphil,0.5628,0.5628,0.5628,0.5628,0.5628,0.5628
2642,Facial Skin Care,2017-03-09,Cosmedica Skincare,1.0854,1.0854,1.0854,1.0854,1.0854,1.0854
2642,Facial Skin Care,2017-03-09,Cosrx,0.8643,0.8643,0.8643,0.8643,0.8643,0.8643
2642,Facial Skin Care,2017-03-09,Cottonelle,1.1859,1.1859,1.1859,1.1859,1.1859,1.1859
2642,Facial Skin Care,2017-03-09,Daiso Japan,0.2613,0.2613,0.2613,0.2613,0.2613,0.2613
