url_id	category	fact_date	brand	overall_score_365	overall_score_90	overall_score_30	overall_score_14	overall_score_7	overall_score_1
3711	Women's Socks & Hosiery	2017-07-01	ADFOLF	6.03	6.03	6.03	6.03	6.03	6.03
3711	Women's Socks & Hosiery	2017-07-01	ASICS	6.531333333	6.531333333	6.531333333	6.531333333	6.531333333	6.531333333
3711	Women's Socks & Hosiery	2017-07-01	Airstep Socks	4.154	4.154	4.154	4.154	4.154	4.422
3711	Women's Socks & Hosiery	2017-07-01	Angelina	4.477666667	4.477666667	4.477666667	4.477666667	4.477666667	5.252
3711	Women's Socks & Hosiery	2017-07-01	Athletic Socks	1.206	1.206	1.206	1.206	1.206	1.943
3711	Women's Socks & Hosiery	2017-07-01	BEAR MUM	1.4405	1.4405	1.4405	1.4405	1.4405	1.005
3711	Women's Socks & Hosiery	2017-07-01	Balega	6.75	6.75	6.75	6.75	6.75	6.766666667
3711	Women's Socks & Hosiery	2017-07-01	Bambu	4.958	4.958	4.958	4.958	4.958	5.092
3711	Women's Socks & Hosiery	2017-07-01	Bepo	1.139	1.139	1.139	1.139	1.139	0.871
3711	Women's Socks & Hosiery	2017-07-01	Berkshire	1.2395	1.2395	1.2395	1.2395	1.2395	0.67
3711	Women's Socks & Hosiery	2017-07-01	Capezio	5.805	5.805	5.805	5.805	5.805	5.588666667
3711	Women's Socks & Hosiery	2017-07-01	Chalier	2.747	2.747	2.747	2.747	2.747	2.345
3711	Women's Socks & Hosiery	2017-07-01	Champion	4.780666667	4.780666667	4.780666667	4.780666667	4.780666667	4.915333333
3711	Women's Socks & Hosiery	2017-07-01	CoCozy	0.603	0.603	0.603	0.603	0.603	0.067
3711	Women's Socks & Hosiery	2017-07-01	Dani's Choice	1.3735	1.3735	1.3735	1.3735	1.3735	1.407
3711	Women's Socks & Hosiery	2017-07-01	Darn Tough	1.6415	1.6415	1.6415	1.6415	1.6415	0.402
3711	Women's Socks & Hosiery	2017-07-01	Dickies	3.216	3.216	3.216	3.216	3.216	3.618
3711	Women's Socks & Hosiery	2017-07-01	Different Touch	3.082	3.082	3.082	3.082	3.082	3.417
3711	Women's Socks & Hosiery	2017-07-01	Dr. Motion	4.3885	4.3885	4.3885	4.3885	4.3885	4.02
3711	Women's Socks & Hosiery	2017-07-01	Dr. Scholl's	2.345	2.345	2.345	2.345	2.345	2.144
3711	Women's Socks & Hosiery	2017-07-01	Eedor	6.633	6.633	6.633	6.633	6.633	6.633
3711	Women's Socks & Hosiery	2017-07-01	Gold Toe	0.855666667	0.855666667	0.855666667	0.855666667	0.855666667	1.139
3711	Women's Socks & Hosiery	2017-07-01	HASLRA	0.5025	0.5025	0.5025	0.5025	0.5025	0.469
3711	Women's Socks & Hosiery	2017-07-01	HUE	0.453	0.453	0.453	0.453	0.453	
3711	Women's Socks & Hosiery	2017-07-01	Hanes	6.466	6.466	6.466	6.466	6.466	6.470666667
3711	Women's Socks & Hosiery	2017-07-01	Hippih	5.809916667	5.809916667	5.809916667	5.809916667	5.809916667	5.723333333
3711	Women's Socks & Hosiery	2017-07-01	I&S	1.1725	1.1725	1.1725	1.1725	1.1725	0.603
3711	Women's Socks & Hosiery	2017-07-01	Injinji	0.503333333	0.503333333	0.503333333	0.503333333	0.503333333	
3711	Women's Socks & Hosiery	2017-07-01	JJMax	0.151	0.151	0.151	0.151	0.151	0.201
3711	Women's Socks & Hosiery	2017-07-01	Just My Size	0.100666667	0.100666667	0.100666667	0.100666667	0.100666667	
