study_name,study_id,brand_name,brand_id,diq,study_class,sector,raw_mobile_score,mobile_class,raw_social_score,social_class,raw_digital_mkting_score,digital_mkting_class,raw_site_score,site_class
Beauty 2015,ZYRnrt7C,Urban Decay,174,149,Genius,Beauty & Skincare,16.01,Genius,11.4,Genius,16.46,Genius,31.25,Genius
Beauty 2015,ZYRnrt7C,Maybelline,104,145,Genius,Beauty & Skincare,15.54,Genius,10.68,Genius,17.28,Genius,29.46,Gifted
Beauty 2015,ZYRnrt7C,Lancome,70,144,Genius,Beauty & Skincare,14.39,Gifted,10.81,Genius,16.42,Genius,30.76,Genius
Beauty 2015,ZYRnrt7C,L'Oreal Paris,141,144,Genius,Beauty & Skincare,15.84,Genius,10.17,Gifted,18.53,Genius,28.16,Gifted
Beauty 2015,ZYRnrt7C,Benefit Cosmetics,27,142,Genius,Beauty & Skincare,15.51,Genius,11.14,Genius,14.4,Gifted,30.55,Genius
Beauty 2015,ZYRnrt7C,Clinique,113,138,Gifted,Beauty & Skincare,15.6,Genius,9.82,Gifted,17.98,Genius,26.24,Gifted
Beauty 2015,ZYRnrt7C,MAC Cosmetics,1469,138,Gifted,Beauty & Skincare,15.58,Genius,10.47,Gifted,19.64,Genius,23.91,Gifted
Beauty 2015,ZYRnrt7C,Kiehl's,25,137,Gifted,Beauty & Skincare,14.18,Gifted,7.9,Average,16.27,Genius,30.84,Genius
Beauty 2015,ZYRnrt7C,Estee Lauder,115,135,Gifted,Beauty & Skincare,14.71,Genius,11.16,Genius,17.07,Genius,25.34,Gifted
Beauty 2015,ZYRnrt7C,CoverGirl,158,134,Gifted,Beauty & Skincare,12.13,Gifted,10.02,Gifted,15.86,Genius,29.55,Gifted
Beauty 2015,ZYRnrt7C,Olay,159,134,Gifted,Beauty & Skincare,14.32,Gifted,10.16,Gifted,14.82,Gifted,28.05,Gifted
Beauty 2015,ZYRnrt7C,Bobbi Brown,69,133,Gifted,Beauty & Skincare,14.79,Genius,11.22,Genius,15.2,Gifted,25.92,Gifted
Beauty 2015,ZYRnrt7C,Sally Hansen,1465,133,Gifted,Beauty & Skincare,15.11,Genius,9.29,Gifted,13.9,Gifted,28.55,Gifted
Beauty 2015,ZYRnrt7C,bareMinerals,162,132,Gifted,Beauty & Skincare,14.09,Gifted,8.01,Average,16.34,Genius,27.97,Gifted
Beauty 2015,ZYRnrt7C,Smashbox Cosmetics,99,131,Gifted,Beauty & Skincare,13.8,Gifted,11.33,Genius,12.88,Gifted,28.12,Gifted
Beauty 2015,ZYRnrt7C,Avon,17,130,Gifted,Beauty & Skincare,14.65,Gifted,10.38,Gifted,18.33,Genius,22.21,Average
Beauty 2015,ZYRnrt7C,OPI,1464,130,Gifted,Beauty & Skincare,15.25,Genius,10.64,Genius,16.74,Genius,22.84,Average
Beauty 2015,ZYRnrt7C,Neutrogena,21,129,Gifted,Beauty & Skincare,12.19,Gifted,9.21,Gifted,15.79,Genius,28.08,Gifted
Beauty 2015,ZYRnrt7C,Essie,1466,124,Gifted,Beauty & Skincare,12.93,Gifted,9.99,Gifted,15.5,Gifted,24.09,Gifted
Beauty 2015,ZYRnrt7C,NYX,Fhb9GP1COQ,124,Gifted,Beauty & Skincare,11.56,Gifted,10.92,Genius,13.97,Gifted,26.21,Gifted
Beauty 2015,ZYRnrt7C,Too Faced Cosmetics,9ZlEhj8b7M,124,Gifted,Beauty & Skincare,15.32,Genius,9.85,Gifted,14,Gifted,23.52,Gifted
Beauty 2015,ZYRnrt7C,Chanel,593,123,Gifted,Fashion,12.26,Gifted,11.82,Genius,16.64,Genius,21.45,Average
Beauty 2015,ZYRnrt7C,NARS Cosmetics,1468,123,Gifted,Beauty & Skincare,12.65,Gifted,9.81,Gifted,15.32,Gifted,24.36,Gifted
Beauty 2015,ZYRnrt7C,Dove,76,123,Gifted,Beauty & Skincare,14.51,Gifted,8.43,Gifted,14.36,Gifted,24.92,Gifted
