etailer,brand,"Bottled Beverages, Water & Drink Mixes","Coffee, Tea & Cocoa",Chips & Crisps,Cookies,Crackers,Fruit Leather,Fruit Snacks,Granola & Nutrition Bars,Ice Cream Cones & Toppings,Jerky & Dried Meats,Nuts & Seeds,Party Mix,Popcorn,Pretzels,Puffed Snacks,"Rice Cakes, Chips & Crackers","Salsas, Dips & Spreads",Seaweed Snacks,Snack Cakes & Pastries,Snack Gifts,Trail Mix,Breakfast Bakery,Cakes,Packaged Breads,Pizza Crusts,Breakfast & Cereal Bars,Breakfast Syrups & Toppings,Cereals,"Pancake, Waffle & Baking Mixes",Toaster Pastries,Assortments,Bars,Brittle,Candy & Chocolate Gifts,Caramels,Chewing Gum,Chocolate Truffles,"Fruits, Nuts & Snacks",Fruity Candy,Fudge,Gummy Candy,Hard Candy,Licorice,Marshmallows,Nut Clusters,Sour Candy,Taffy,Antipasto,Vegetables,Cocktail Sauce,Ketchup,Mayonnaise,Mustard,Salad Dressings,Salad Toppings,Steak Sauce,Tartar Sauce,Cocoa,Baking Mixes,Breadcrumbs & Seasoned Coatings,Condensed & Powdered Milk,"Cooking Oils, Vinegars & Sprays",Cooking Wine,Dessert Syrups & Sauces,"Doughs, Shells & Crusts",Dried Seaweed & Nori,Extracts & Flavoring,Flours & Meals,Food Coloring,"Frosting, Icing & Decorations",Marshmallows,Nuts & Seeds,Pie & Pastry Fillings,"Syrups, Sugars & Sweeteners",Butter & Margarine,Cottage Cheese,Cream Cheese,Milk & Cream,Packaged Cheese,Refrigerated Doughs,Yogurt,Deli-Sliced Meats,Olives & Antipasto,Packaged Deli Meats,Appetizers & Snacks,Bread & Dough,Breakfast Foods,Desserts & Toppings,Fruit,Ice Cream & Novelties,Meals & Entrees,Meats,Pasta & Sauces,Pizza,Potatoes & Onion Rings,Vegetables,Mixed Spices & Seasonings,Salt & Salt Substitutes,Chocolate & Hazelnut Spreads,Fruit Butters,Honey,"Jams, Jellies & Preserves",Nut & Seed Butters,Bacon,Chicken,Foie Gras & Pates,Frozen Meats,Hot Dogs & Franks,Packaged & Sliced Deli Meats,Sausages,Asian Dishes,Macaroni & Cheese,Pasta & Noodle Dishes,Pasta Salads,Potatoes & Stuffings,Rice Dishes,Noodles,Pasta,Gravies,Sauces,Chips & Crisps,Cookies,Crackers,Fruit Leather,Fruit Snacks,Granola & Nutrition Bars,Ice Cream Cones & Toppings,Jerky & Dried Meats,Nuts & Seeds,Party Mix,Popcorn,Pretzels,Puffed Snacks,"Rice Cakes, Chips & Crackers","Salsas, Dips & Spreads",Seaweed Snacks,Snack Cakes & Pastries,Snack Gifts,Trail Mix,Beef Soups,Bisques,Bouillon,Chicken Soups,Chili,Chowders,Miso Soups,Noodle Soups,Split Pea Soups,Stews,Stocks,Tomato Soups,Vegetable Soups
AmazonFresh,Amy's Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,22,0,0,8,21,0,0,10,26
AmazonFresh,Annie's,0,0,0,0,13,11,28,4,0,0,0,0,8,4,0,0,0,27,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57,11,0,0,7,4,0,0,0,0,0,13,11,28,4,0,0,0,0,8,4,0,0,0,27,0,2,0,0,0,0,1,0,0,12,2,0,0,0,10,0
AmazonFresh,Atkins,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Aunt Jemima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,74,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Ben & Jerry's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Betty Crocker,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,7,0,0,0,2,36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,28,4,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Birds Eye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Breyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonFresh,Buitoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
