etailer,brand,Yogurt,Milk,Cream & Creamers,Packaged Cheese,Eggs,Butter & Margarine,Cream Cheese,Hummus & Dips,Salsa & Guacamole,Sliced Cheese,Bacon & Pancetta,Mozzarella,Boules & Batards,Sliced,"Pound Cakes, Muffins",Pies & Tarts,Snacks,Bread & Crackers,Cereal & Breakfast,"Coffee, Tea & Cocoa",Oil & Vinegar,"Cookies, Cakes & Pies",Baking Needs,Candy & Chocolate,Condiments & Sauces,PB & J,Salad Dressing,Soup & Meals,Sugar & Sweeteners,Ice Cream & Treats,Fruit,Meals & Entrees,Vegetables,Meat,Breakfast Food,Appetizers & Snacks,Bread & Dough,Desserts & Toppings,Pasta,Potatoes,Packaged Meats,Pasta & Sauce,Pasta & Sauce,Pasta & Sauce,Pasta & Sauce
FreshDirect,Amy's Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,50,0,0,3,10,0,0,0,0,0,0,0,0,0
FreshDirect,Annie's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,3,0,0,10,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Atkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Aunt Jemima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0
FreshDirect,Ben & Jerry's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Birds Eye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,14,0,0,0,0,13,0,0,0,0,0,13
FreshDirect,Breyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Buitoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0
FreshDirect,Campbell's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Cascadian Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,0,0,18,0,0,0,0,0
FreshDirect,Cheerios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Chips Ahoy!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FreshDirect,Chobani,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
