etailer,brand,Bakery,Baking Goods,Breakfast,Bulk Foods,Canned & Packaged,Condiment & Toppings,Dairy,Deli,Fresh Meat,Frozen,International,Packaged Meat,"Pasta, Sauces, Grain",Snacks
Kroger,Aunt Jemima,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Kroger,Betty Crocker,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Kroger,Butterfinger,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Campbell's,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Kroger,Cap'n Crunch,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Cheerios,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Kroger,Cheetos,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kroger,Cheez-It,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Chobani,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kroger,Clif Bar,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Coffee-mate,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kroger,Del Monte,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Kroger,Doritos,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kroger,Eggo,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Kroger,Frito-Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Fritos,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kroger,Froot Loops,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Frosted Flakes,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kroger,Goldfish,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kroger,Heinz,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Kroger,Hellmann's,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Kroger,Hershey's,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Kroger,Hidden Valley,0,4,0,0,0,4,0,0,0,0,0,0,0,0
Kroger,Honey Bunches Of Oats,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Hormel,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Kroger,Hostess,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Jif,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Kroger,Johnsonville,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Kroger,KitKat,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Kraft Dressing,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Kroger,Kraft Macaroni & Cheese,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Kroger,Kraft Singles,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kroger,Kroger Private Label,38,47,25,4,33,44,68,44,88,51,9,26,4,14
Kroger,Lays,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Kroger,Lean Cuisine,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kroger,Lindt,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,M&M's,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kroger,Malt-O-Meal,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Kroger,Marie Callender's,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Kroger,McCormick,0,6,0,13,0,2,0,0,0,0,1,0,0,0
Kroger,Mission,10,0,0,0,0,0,0,0,0,0,17,0,0,0
Kroger,Nature Valley,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Nature's Own,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Nestle Toll House,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Nutri-Grain,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kroger,Oreo,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Oscar Mayer,0,0,0,0,0,0,0,0,0,0,0,31,0,0
Kroger,Pepperidge Farm,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Philadelphia,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kroger,Pop Tarts,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Kroger,Popsicle,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Kroger,Prego,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kroger,Pringles,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kroger,Quaker Oats,0,0,6,0,0,0,0,0,0,0,0,0,2,0
Kroger,Ragu,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Kroger,Reese's,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kroger,Ritz Crackers,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Kroger,Sabra,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Kroger,Sara Lee Bread,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Skittles,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Snickers,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Stouffer's,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Kroger,Thomas,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Kroger,Tostitos,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kroger,Totino's,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Kroger,Tyson,0,0,0,0,0,0,0,0,6,2,0,0,0,0
Kroger,Velveeta,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Kroger,Yoplait,0,0,0,0,0,0,13,0,0,0,0,0,0,0
