etailer,brand,Fresh Fruit,Fresh Juice & Juice Blends,Packaged Produce,"Dried Fruit, Nuts & Trail Mix",Meat-Free Options & Alternatves,Prepared & Ready To Heat Seafood,Deli Salads,Fresh Sliced Cheese,Fresh Sliced Meat,Lunch Packs,Packaged Cheese,Packaged Deli Meat,Party Trays,"Prepared Meals, Sides & More","Specialty Cheese, Dips & Spreads",Milk,Plant-Based Milk,Yogurt,Packaged Cheese,Eggs & Egg Substitutes,Butter & Margarine,Cream & Creamers,Refreigerated Doughs,Cream Cheese,Sour Cream,Cottage Cheese,Bagels,Desserts & Pastries,English Muffins,Packaged Bread,"Pitas, Tortillas, Taco Shells & Wraps",Rolls & Buns,Frozen Appetizers & Snacks,Frozen Breakfast Foods,Frozen Desserts & Bakery,Frozen Fruit,"Frozen Meals, Entrees & Sides",Frozen Pizza All,Frozen Vegetables,Ice Cream & Novelties,Boxed Dinners & Sides,Pasta,Potato Mixes,Rice & Grains,"Pitas, Tortillas, Taco Shells & Wraps",Baking Mixes,"Baking Morsels, Bars & Cocoa",Canned Milk,Cooking Oils & Sprays,Cooking Wine & Vinegar,Extracts & Flavorings,Flour & Meal,Frosting & Cake Decorations,"Herbs, Spices & Seasonings",Marshmallow,Pie Crusts & Pastry Dough,Pudidng & Gelatin Mix,Condiments & Sandwich Spreads,Gravy,"Jams, Jelly & Fruit Spreads",Pasta & Pizza Sauce,Penaut Butter & Spreads,Salad Dressing & Toppings,Sauces & Marinades,Sauerkraut,Syrup,Canned & Dried Tomatoes,Canned Beans,Canned Fruit,Canned Meat & Poultry,Caned Vegetables,Ready To Eat Meals,Soup,"Candy, Gum & Mints",Chips,Cookies,Crackers,"Dips, Spreads & Salsa","Dried Fruits, Raisins & Fruit Snacks","Energy, Nutritional & Snack Bars",Ice Cream Cones & Toppings,Jerky & Meat Snacks,"Nuts, Seeds, Granola & Trail Mixes",Popcorn,Pretzels,Snack Cakes & Desserts,Cereal,"Energy, Nutrional & Snack Bars",Frozen Breakfast Foods,Pancake & Waffle Mixes,Syrup,Toaster Pastries
Peapod,Activia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Amy's Kitchen,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Peapod,Annie's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Atkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Peapod,Aunt Jemima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,16,18,0
Peapod,Baileys Coffee Creamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Ben & Jerry's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Betty Crocker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,20,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0
Peapod,Birds Eye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peapod,Breyers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
