etailer,brand,Breakfast Foods,Breakfast Foods,Breakfast Foods,Candy & Chocolate,Candy & Chocolate,Candy & Chocolate,Candy & Chocolate,Candy & Chocolate,"Canned, Jarred & Packaged Foods","Canned, Jarred & Packaged Foods",Condiments & Salad Dressing,Condiments & Salad Dressing,Condiments & Salad Dressing,Condiments & Salad Dressing,Condiments & Salad Dressing,Cooking & Baking,Cooking & Baking,Cooking & Baking,Cooking & Baking,Cooking & Baking,"Dairy, Cheese & Eggs","Dairy, Cheese & Eggs","Herbs, Spices & Seasonings","Herbs, Spices & Seasonings","Herbs, Spices & Seasonings","Jams, Jellies & Sweet Spreads","Jams, Jellies & Sweet Spreads",Packaged Meals & Side Dishes,Packaged Meals & Side Dishes,Packaged Meals & Side Dishes,Pasta & Noodles,Pasta & Noodles,Produce,"Sauces, Gravies & Marinades","Sauces, Gravies & Marinades","Sauces, Gravies & Marinades",Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,Snack Foods,"Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths","Soups, Stocks & Broths"
Amazon Prime Pantry,Amy's Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,20,0,7,21
Amazon Prime Pantry,Annie's,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,8,10,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,7,0
Amazon Prime Pantry,Atkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Aunt Jemima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Barilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Betty Crocker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Campbell's,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,3,0,47,21,11,0,0,0,0,0,0,0,0,0,5,0,82,0,13,75,43,80,20,60,50,57,44
Amazon Prime Pantry,Cascadian Farm,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Cheerios,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Cheetos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Cheez-It,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Chips Ahoy!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Clif Bar,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon Prime Pantry,Coffee-mate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
