etailer,brand,Beef,Pork,"Bacon, Hot Dogs & Sausage",Grilling,Cheese,Milk,Cream & Creamers,Yogurt,Eggs,Butter & Margarine,"Refrigerated Juices, Teas & Coffees",Sour Cream & Dip,Refrigerated Doughs & Crusts,Pudding & Gelatin,Deli Sliced Meat & Cheese,Lunch Meat & Lunch Packs,Deli Prepared Food,Fresh Pasta & Pizza,Sliced Bread,Snack Cakes,Rolls & Buns,Tortillas & Flatbreads,"Bagels, English Muffins & Breakfast Breads",Donuts & Pastries,Desserts,Graduation Bakery,Cereal & Breakfast Food,Baking,Condiments,Oil & Vinegar,Herbs & Seasoning,Canned Goods,Soup,Pasta & Pizza,Boxed Dinners,Potatoes & Stuffing,"Rice, Grains & Dried Beans",International Foods,Cookies & Crackers,Snack Bars,Snack Cakes,Chips & Dip,Fruit Snacks,Popcorn & Pretzels,Nuts & Dried Fruit,Jerky & Rinds,Candy,Frozen Snacks & Appetizers,Frozen Family Meals,Frozen Meat & Seafood,Frozen Fruits & Vegetables,Ice Cream,Frozen Bread & Potatoes,Frozen Breakfast,Frozen Individual Meals,Frozen Kids Meals,Frozen Pizza & Pasta,Frozen Desserts,Organic Beverages,"Organic Dairy, Eggs & Meat",Organic Pantry,Gluten Free,Paleo,Non-Dairy,Grilled Chicken & Veggies,Taco Tuesday,Pizza Night,Pasta Night
Walmart Grocery,Amy's Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Aunt Jemima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Doritos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,General Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Jif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,M&M's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Starburst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Activia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Fiber One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart Grocery,Jolly Rancher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
