brand,vertical,explore_vertical,class,score_x,score_y,case_study,report
Nike,Activewear,Activewear,Other,2.44,5.24,,Omnichannel
Under Armour,Activewear,Activewear,Other,2.48,5.48,,Omnichannel
adidas,Activewear,Activewear,Laggard,1.95,3.81,,Omnichannel
Athleta,Activewear,Activewear,Laggard,3.83,3.57,,Omnichannel
Lululemon,Activewear,Activewear,Laggard,1.71,2.86,,Omnichannel
REI,Activewear,Activewear,Laggard,4.63,1.9,,Omnichannel
Vans,Activewear,Activewear,Laggard,4.47,4.52,,Omnichannel
adidas,Activewear,Activewear,Leader,70,57.77777778,TRUE,Localization
ASICS,Activewear,Activewear,Other,54.44444444,45.88888889,,Localization
Columbia,Activewear,Activewear,Laggard,46.66666667,45.88888889,,Localization
Converse,Activewear,Activewear,Laggard,37.77777778,41.25,,Localization
New Balance,Activewear,Activewear,Leader,57.77777778,52.77777778,,Localization
Nike,Activewear,Activewear,Leader,60,54.84848485,TRUE,Localization
Puma,Activewear,Activewear,Other,51.11111111,49.88888889,,Localization
Reebok,Activewear,Activewear,Leader,60,55.33333333,,Localization
The North Face,Activewear,Activewear,Other,57.77777778,49.19191919,,Localization
Timberland,Activewear,Activewear,Laggard,42.22222222,36.03174603,,Localization
Under Armour,Activewear,Activewear,Leader,55.55555556,52.92929293,,Localization
Foot Locker,Activewear,Activewear,Laggard,41.11111111,43.75,,Localization
adidas,Activewear,Activewear,Laggard,1.554054054,0.819672131,,Content & Commerce
Athleta,Activewear,Activewear,Laggard,1.554054054,2.240437158,,Content & Commerce
L.L. Bean,Activewear,Activewear,Laggard,1.891891892,3.387978142,,Content & Commerce
lululemon athletica,Activewear,Activewear,Laggard,1.689189189,2.295081967,,Content & Commerce
New Balance,Activewear,Activewear,Other,2.162162162,6.174863388,,Content & Commerce
Nike,Activewear,Activewear,Other,2.297297297,4.918032787,TRUE,Content & Commerce
Patagonia,Activewear,Activewear,Laggard,2.22972973,0.819672131,,Content & Commerce
The North Face,Activewear,Activewear,Laggard,1.756756757,3.278688525,,Content & Commerce
Under Armour,Activewear,Activewear,Other,2.5,4.644808743,,Content & Commerce
Columbia,Activewear,Activewear,Laggard,0.773480663,2.419354839,,Loyalty
Crocs,Activewear,Activewear,Laggard,0.994475138,1.935483871,,Loyalty
Eastern Mountain Sports,Activewear,Activewear,Laggard,2.320441989,1.451612903,,Loyalty
Eddie Bauer,Activewear,Activewear,Laggard,1.767955801,1.451612903,,Loyalty
Kipling,Activewear,Activewear,Laggard,1.657458564,0.483870968,,Loyalty
Mountain Hardwear,Activewear,Activewear,Laggard,2.209944751,1.935483871,,Loyalty
Nautica,Activewear,Activewear,Laggard,0.552486188,0.806451613,,Loyalty
New Balance,Activewear,Activewear,Leader,5.193370166,5.161290323,TRUE,Loyalty
Nike,Activewear,Activewear,Laggard,1.767955801,2.580645161,,Loyalty
REI,Activewear,Activewear,Other,3.314917127,2.258064516,,Loyalty
Skechers,Activewear,Activewear,Other,3.20441989,2.096774194,,Loyalty
The North Face,Activewear,Activewear,Other,2.320441989,3.709677419,,Loyalty
Toms,Activewear,Activewear,Leader,4.972375691,4.516129032,,Loyalty
adidas,Activewear,Activewear,Leader,5.751906352,6.22267624,,Mobile
ASICS,Activewear,Activewear,Laggard,3.42055,2.796023845,,Mobile
lululemon athletica,Activewear,Activewear,Other,6.41726387,3.307156474,,Mobile
New Balance,Activewear,Activewear,Other,4.53373007,7.1,,Mobile
Nike,Activewear,Activewear,Leader,5.643407008,7.346209432,,Mobile
Oakley,Activewear,Activewear,Laggard,4.10295,3.251866198,,Mobile
Patagonia,Activewear,Activewear,Leader,6.00905,5.639047619,,Mobile
Puma,Activewear,Activewear,Laggard,3.42745,3.622055083,,Mobile
Reebok,Activewear,Activewear,Other,3.8139,6.076532738,,Mobile
The North Face,Activewear,Activewear,Other,4.532208475,6.506157738,,Mobile
Under Armour,Activewear,Activewear,Leader,6.477946012,7.045931508,,Mobile
Abercrombie & Fitch,Specialty Retail,Specialty Retail,Other,4.44015444,2.688095238,,Data & Targeting
adidas,Activewear,Activewear,Other,4.739134739,3.703809524,,Data & Targeting
Aeropostale,Specialty Retail,Specialty Retail,Laggard,3.33047619,1.97010197,,Data & Targeting
Amazon,Retail,Big Box,Laggard,1.494406494,2.796190476,,Data & Targeting
American Eagle Outfitters,Specialty Retail,Specialty Retail,Leader,4.223839224,7.317142857,,Data & Targeting
Ann Taylor,Specialty Retail,Specialty Retail,Other,4.384219384,4.110952381,,Data & Targeting
Anthropologie,Specialty Retail,Specialty Retail,Laggard,3.305118305,3.774761905,,Data & Targeting
Athleta,Activewear,Activewear,Other,2.43045243,9.04047619,,Data & Targeting
bareMinerals,Beauty,Beauty,Other,3.825858826,5.484285714,TRUE,Data & Targeting
Barneys New York,Retail,Department Stores,Other,3.80952381,4.294761905,,Data & Targeting
Bed Bath & Beyond,Retail,Big Box,Other,4.395109395,5.288095238,,Data & Targeting
Benefit Cosmetics,Beauty,Beauty,Laggard,2.420552421,5.351428571,,Data & Targeting
Sephora,Beauty,Beauty,Other,3.02,5.24,,Omnichannel
The Body Shop,Beauty,Beauty,Other,1.34,5,,Omnichannel
Bath & Body Works,Beauty,Beauty,Laggard,0.74,3.1,,Omnichannel
Chanel,Beauty,Beauty,Laggard,1.88,3.81,,Omnichannel
Dior,Beauty,Beauty,Laggard,1.41,1.9,,Omnichannel
Kiehl's,Beauty,Beauty,Laggard,4.17,4.05,,Omnichannel
L'OCCITANE en Provence,Beauty,Beauty,Laggard,4.23,4.76,,Omnichannel
Lush,Beauty,Beauty,Laggard,1.32,1.67,,Omnichannel
M.A.C Cosmetics,Beauty,Beauty,Laggard,2.44,4.52,,Omnichannel
Origins,Beauty,Beauty,Laggard,2.71,3.1,,Omnichannel
Ulta,Beauty,Beauty,Laggard,2.22,4.05,,Omnichannel
bareMinerals,Beauty,Beauty,Laggard,26.66666667,20,,Localization
Benefit Cosmetics,Beauty,Beauty,Laggard,48.88888889,23.61111111,,Localization
Bobbi Brown,Beauty,Beauty,Other,52.22222222,42.44444444,,Localization
Clarins,Beauty,Beauty,Other,56.66666667,48.11111111,,Localization
Clinique,Beauty,Beauty,Leader,62.22222222,50.55555556,,Localization
Estee Lauder,Beauty,Beauty,Other,58.88888889,44.24242424,,Localization
Garnier,Beauty,Beauty,Laggard,31.11111111,0,,Localization
KIKO Cosmetics,Beauty,Beauty,Laggard,28.88888889,30.66666667,,Localization
L'Occitane en Provence,Beauty,Beauty,Leader,71.11111111,51.38888889,,Localization
L'Oreal Paris,Beauty,Beauty,Laggard,41.11111111,12.22222222,,Localization
Lancome,Beauty,Beauty,Other,57.77777778,42.33333333,,Localization
M.A.C Cosmetics,Beauty,Beauty,Leader,62.22222222,50.83333333,,Localization
Maybelline,Beauty,Beauty,Laggard,45.55555556,10,,Localization
Nivea,Beauty,Beauty,Laggard,37.77777778,16.66666667,,Localization
Origins,Beauty,Beauty,Laggard,36.66666667,30.55555556,,Localization
Sephora,Beauty,Beauty,Laggard,48.88888889,49.11111111,,Localization
Shiseido,Beauty,Beauty,Laggard,35.55555556,22.22222222,,Localization
The Body Shop,Beauty,Beauty,Laggard,48.88888889,39.25925926,,Localization
Urban Decay,Beauty,Beauty,Laggard,43.33333333,33.65079365,,Localization
YSL Beauty,Beauty,Beauty,Laggard,44.44444444,27.77777778,,Localization
Yves Rocher,Beauty,Beauty,Laggard,43.33333333,40,,Localization
Dior,Beauty,Beauty,Laggard,34.44444444,27.77777778,,Localization
Avon,Beauty,Beauty,Laggard,1.486486486,1.857923497,,Content & Commerce
Benefit Cosmetics,Beauty,Beauty,Other,2.77027027,1.912568306,,Content & Commerce
Clinique,Beauty,Beauty,Leader,3.108108108,4.262295082,,Content & Commerce
Essie,Beauty,Beauty,Other,2.635135135,2.841530055,,Content & Commerce
Estee Lauder,Beauty,Beauty,Leader,4.932432432,4.207650273,,Content & Commerce
L'Oreal Paris,Beauty,Beauty,Other,3.108108108,3.715846995,,Content & Commerce
La Mer,Beauty,Beauty,Leader,3.445945946,4.207650273,,Content & Commerce
Lancome,Beauty,Beauty,Other,4.121621622,2.568306011,,Content & Commerce
Laura Mercier,Beauty,Beauty,Laggard,1.891891892,2.513661202,,Content & Commerce
M.A.C Cosmetics,Beauty,Beauty,Laggard,2.297297297,2.896174863,,Content & Commerce
Maybelline,Beauty,Beauty,Other,3.243243243,2.404371585,,Content & Commerce
NARS Cosmetics,Beauty,Beauty,Other,2.905405405,3.825136612,,Content & Commerce
Neutrogena,Beauty,Beauty,Laggard,1.959459459,2.349726776,,Content & Commerce
Revlon,Beauty,Beauty,Laggard,1.418918919,0,,Content & Commerce
Rodan + Fields,Beauty,Beauty,Laggard,0.743243243,0.273224044,,Content & Commerce
Shiseido,Beauty,Beauty,Other,3.040540541,3.770491803,,Content & Commerce
Smashbox,Beauty,Beauty,Other,3.310810811,1.803278689,,Content & Commerce
Tarte,Beauty,Beauty,Other,3.175675676,3.825136612,,Content & Commerce
Urban Decay,Beauty,Beauty,Other,2.77027027,3.770491803,,Content & Commerce
Aveda,Beauty,Beauty,Laggard,1.657458564,2.096774194,,Loyalty
bareMinerals,Beauty,Beauty,Laggard,2.651933702,1.451612903,,Loyalty
Calvin Klein Fragrance,Beauty,Beauty,Laggard,1.436464088,1.935483871,,Loyalty
Clarins,Beauty,Beauty,Laggard,0.552486188,2.258064516,,Loyalty
Dermalogica,Beauty,Beauty,Leader,5.856353591,3.064516129,,Loyalty
e.l.f. Cosmetics,Beauty,Beauty,Other,4.53038674,2.903225806,,Loyalty
Estee Lauder,Beauty,Beauty,Leader,7.403314917,4.677419355,,Loyalty
Fresh,Beauty,Beauty,Laggard,1.215469613,1.290322581,,Loyalty
Kate Somerville,Beauty,Beauty,Leader,3.64640884,3.064516129,,Loyalty
Kiehl's,Beauty,Beauty,Other,4.419889503,1.774193548,,Loyalty
L'OCCITANE en Provence,Beauty,Beauty,Laggard,0.883977901,1.612903226,,Loyalty
L'Oreal Paris,Beauty,Beauty,Laggard,2.983425414,2.903225806,,Loyalty
Lancome,Beauty,Beauty,Other,1.657458564,3.064516129,,Loyalty
M.A.C Cosmetics,Beauty,Beauty,Other,5.082872928,0.806451613,,Loyalty
Mugler,Beauty,Beauty,Laggard,2.430939227,1.935483871,,Loyalty
Murad,Beauty,Beauty,Other,0.994475138,3.225806452,,Loyalty
Origins,Beauty,Beauty,Other,4.972375691,1.935483871,,Loyalty
REN Skincare,Beauty,Beauty,Laggard,0.662983425,1.774193548,,Loyalty
Sisley,Beauty,Beauty,Other,3.867403315,2.258064516,,Loyalty
Smashbox,Beauty,Beauty,Other,6.961325967,1.612903226,,Loyalty
